TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,865734.4431679624,869245.5765255748,881242.2798658902,896379.675370501,911336.1462728551,924861.9864184865,930874.7194646766,943242.5871336916,950812.423232146,951346.1551955206,904182.789754929,932741.6321925536,952134.4537815126,944750.7270614875,940665.1382888046,934843.107349125
Civilian Unemployment per mil,134145.7397996941,130875.17669036744,118757.72013410977,103796.75370501059,88663.85372714487,75200.82633669033,69132.16483773699,56646.43662216057,49250.74574486752,48646.82809770063,95817.21024507094,67378.71380218127,47678.80485527545,55315.87399080906,59276.07794727097,65156.892650875
"Total, All Industries per mil",688123.3128704637,687639.8428787567,695902.5939650609,714304.8694424842,729135.0210970464,744561.4622809406,749927.7148246568,764695.6823305011,774992.1038778733,785464.1902369543,750690.9894969597,780120.3459947349,794957.9831932773,788608.2600105082,789781.9122358405,775709.6492052362
Total Farm per mil,67781.20000281923,61030.09596329102,59523.557437797775,58454.481298517996,59655.41490857946,58157.63209871373,57773.065855236884,56355.12398127276,55448.32426741533,57536.99558649144,58721.20877096002,54403.91124482889,52788.04855275444,50875.80383770064,54499.89712841313,48220.726744396175
Total Nonfarm per mil,620349.1609283705,626616.8500458152,636371.9781189342,655843.3309809456,669479.6061884669,686403.8301822268,692161.5332718336,708340.5583492283,719543.7796104581,727927.1946504627,691969.7807259997,725708.913125235,742169.9346405228,737732.4561728076,735289.363077918,727488.9224608401
Total Private per mil,477033.8941240318,482714.53229438217,492323.9809422975,510232.88637967536,521448.6638537271,536818.7433261448,542538.1046138594,556733.136812901,565186.8748903316,570865.2301128987,536819.605675327,574088.0030086498,601740.4295051354,596079.4180548053,595001.9104723275,584055.5720202685
Goods Producing per mil,55912.26574008162,54992.43516617774,56700.19410622905,60924.48835568102,63523.20675105486,68863.71725885136,75438.18584862797,76934.28125541877,79256.00982628531,81218.38096507784,83103.00350101345,91891.68860473862,96732.02614379085,96327.32197168715,97911.70678658555,94482.5542311501
"Mining, Logging and Construction per mil",20848.163627777816,20599.078013680628,20878.771836950767,22759.35074100212,23790.43600562588,25704.375257357817,30346.005039309366,31267.556788624937,31177.39954377961,31575.180504781885,32740.00368527732,35727.71718691237,37594.771241830065,37555.59337837538,37474.6495018076,36243.25047165379
Manufacturing per mil,35064.1021123038,34393.357152497105,35821.42226927828,38165.1376146789,39732.77074542898,43152.3628064739,45092.1808093186,45659.788451534594,48078.6102825057,49643.200460295964,50362.99981573613,56163.97141782625,59137.25490196078,58771.728593311775,60437.05728477795,58239.303759496324
Durable Goods per mil,16682.759738657907,16926.75962296584,17413.09334745015,18172.194777699366,19338.959212376936,20588.62530795698,21630.478183645653,22368.649211028263,23919.98596244955,26137.232751180563,27212.08770960015,31402.783001128246,31805.788982259575,33300.52614831314,35821.35614143374,34905.994520864806
Non-Durable Goods per mil,18381.34237364589,17459.494399181716,18408.328921828128,19992.942836979535,20393.811533052038,22563.737498516923,23461.70262567294,23291.13924050633,24158.62432005615,23505.967709115404,23158.282660770223,24761.188416698005,27323.996265172733,25471.20244499863,24615.70114334421,23340.537649176324
Service-Providing per mil,564429.8471275629,571624.4148796374,579671.7840127051,594918.8426252647,605956.399437412,617540.1129233754,616716.463120792,631406.2770938096,640287.7697841726,646708.8136853849,608866.7772249861,633824.7461451674,645437.908496732,641405.1342011204,637377.6562913323,632999.1398191451
Private Service Providing per mil,421121.62838395016,427729.20025855396,435623.78683606844,449308.39802399435,457925.4571026723,467955.02606729337,467099.9187652315,479798.8555574822,485930.8650640463,489646.84914782096,453716.6021743136,482196.31440391124,505008.40336134454,499752.0960831181,497090.203685742,489573.01778911834
"Trade, Transportation, and Utilities per mil",115531.81142208721,114360.39862767523,114113.2874536792,115031.7572335921,116561.18143459916,118416.00189834104,119153.50617521926,119126.06207733657,117739.95437796104,117880.67388451904,115776.67219458264,122730.3497555472,124369.74789915967,118771.8765956502,114503.4241542486,110182.66193446722
