TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,830663.0045014115,840407.5145261731,857653.5457999156,880719.0412782956,902569.7219141287,922009.4403236683,931937.1727748691,943210.1683342526,951076.011846002,953920.7337045529,914817.2323759791,933567.6256917306,955456.336178595,951623.0312816373,946585.5904727061,944347.8903967754
Civilian Unemployment per mil,169336.99549858854,159592.48547382685,142359.64542000846,119280.9587217044,97550.54588216428,77990.55967633176,68285.34031413612,57013.051813335434,49134.583744652846,46079.2662954471,85182.76762402088,66222.56025597315,44425.47603414314,48594.825266233514,53300.86921417488,55824.67428416472
"Total, All Industries per mil",752244.3478039724,759959.8738893666,775313.9510341916,804926.7643142476,830181.8716341722,854578.5569790965,848390.0523560209,864649.8069802253,880118.4600197434,892787.4222076646,869229.7650130548,891054.0533452228,915193.6966513459,911152.9737418784,910946.5477437016,899974.115297859
Total Farm per mil,8799.369293761603,10096.667448344147,10552.975939214857,11318.242343541944,12467.761549049217,12582.602832097102,11675.392670157069,11922.582000577746,12398.815399802566,10809.040288241074,10770.23498694517,11251.27855438118,12580.43335521996,12392.193046531596,12930.980105214023,13028.63341098744
Total Nonfarm per mil,743457.6943617915,749863.2064410225,764760.9750949767,793608.5219707057,817714.1100851229,841982.4679703304,836714.6596858639,852727.2249796476,867719.6446199408,881978.3819194236,858459.5300261097,879802.7747908416,902600.1313197636,898760.7806953468,898015.5676384877,886945.4818868715
Total Private per mil,580580.3514661377,585502.4883399777,600200.506542845,627829.5605858854,648777.9455587775,670600.1348617667,668743.4554973822,681044.6702907113,692767.3576834486,703792.9905011464,686031.3315926893,707794.592042802,726631.6480630335,719246.9852498302,712679.9298573177,701524.7322165932
Goods Producing per mil,63261.36161338725,64592.61575340681,63542.10637399747,65805.59254327563,66815.44238504402,70802.42751180042,72539.2670157068,75934.24197063998,78973.34649555775,82974.1238126433,88342.03655352481,92449.31679299222,93788.57518056467,91730.42174464649,94516.0028763546,92802.82019992851
"Mining, Logging and Construction per mil",34434.526080211595,36374.05873003465,35616.29379485014,37057.256990679096,37082.57052369944,40121.37559002023,41007.853403141366,43330.969825888285,45844.02764067127,51424.82803799541,56892.95039164491,58131.605864302765,57347.34077478661,55848.166801225125,57186.47104091236,57057.27914802352
Manufacturing per mil,28826.835533175657,28231.58498137002,27925.812579147318,28735.019973368842,29732.871861344593,30681.051921780174,31518.32460732984,32603.2721447517,33129.31885488648,31549.295774647886,31436.031331592687,34317.71092868945,36441.234405778065,35882.25494342137,37316.916245095694,35745.54105190499
Service-Providing per mil,680196.3327484042,685270.5906876157,701218.8687209793,727802.92942743,750898.6677000788,771180.0404585301,764175.3926701571,776779.8524120906,788746.298124383,798991.1562397642,770130.5483028721,787353.4579978494,808824.6881155614,807030.3589507003,803512.1803524796,794154.9877355816
Private Service Providing per mil,517318.9898527505,520896.8446285729,536658.4001688475,562023.9680426099,581962.5031737336,599797.7073499663,596204.1884816755,605097.2977231544,613794.0111878908,620805.7648214871,597689.2950391645,615345.2752498098,632856.2048588312,627516.5635051837,618163.9269809631,608734.2380653033
"Trade, Transportation, and Utilities per mil",151636.53009842068,153078.5064748951,155221.08484592655,159454.06125166445,163363.75663143265,170492.24544841537,168089.00523560212,169279.6554531369,168581.77031918394,170101.5394693744,170039.1644908616,176270.03068530513,176953.3814839133,169261.72260453913,163788.20946926213,158476.007346325
Wholesale Trade per mil,19289.946847740393,19112.01438286563,20222.14014352047,20972.037283621838,22049.09598706453,24275.118004045853,23664.921465968586,24186.559520995826,23797.301743994733,25771.37242056993,24699.738903394256,23931.915340029896,22219.30400525279,20504.14568195507,20084.019831708025,19721.677821740686
Retail Trade per mil,110310.01246153454,111389.0408817322,112560.67961165048,115512.64980026631,117822.35110178664,122387.05327039784,121073.29842931937,121563.06625699204,119881.53998025667,118021.61808057649,118472.58485639686,124249.25909412783,125633.61785948784,119923.62205733471,114070.16791350751,109874.39756437279
"Transportation, Warehousing, and Utilities per mil",22036.57078914575,22577.4512102973,22425.073870831573,22969.374167776296,23492.309542581483,23830.07417397168,23337.696335078534,23530.02967514903,24902.928594932542,26308.54896822797,26866.840731070497,28088.856251147423,29113.59159553513,28833.954865249318,29646.637314393127,28879.931960211514
