TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,1614.0,1597.0,1466.0,1448.0,1413.0,1362.0,1356.0,1295.0,1270.0,1329.0,1290.0,1305.0,1292.0,1307.0,1362.0,1396.0
  Civilian Employment,1364.0,1358.0,1255.0,1262.0,1268.0,1243.0,1253.0,1206.0,1191.0,1255.0,1179.0,1222.0,1235.0,1241.0,1290.0,1317.0
  Civilian Unemployment,250.0,238.0,210.0,187.0,145.0,120.0,105.0,88.0,78.0,75.0,109.0,82.0,58.0,66.0,75.0,80.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Wage and Salary,732.0,726.0,641.0,654.0,656.0,622.0,618.0,586.0,578.0,632.0,605.0,632.0,643.0,646.0,679.0,691.0
  Total Farm,18.0,14.0,12.0,18.0,18.0,15.0,18.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,20.0,14.0
  Total Nonfarm,713.0,712.0,628.0,637.0,638.0,607.0,599.0,569.0,562.0,616.0,588.0,614.0,627.0,629.0,659.0,677.0
    Total Private,268.0,329.0,266.0,282.0,278.0,239.0,238.0,220.0,213.0,233.0,222.0,256.0,268.0,281.0,301.0,306.0
    Goods Producing,32.0,24.0,29.0,28.0,41.0,44.0,48.0,25.0,28.0,32.0,24.0,30.0,33.0,48.0,65.0,91.0
Service-Providing,682.0,688.0,599.0,608.0,598.0,562.0,551.0,545.0,533.0,581.0,566.0,586.0,592.0,583.0,596.0,587.0
    Private Service Providing,237.0,305.0,237.0,254.0,237.0,195.0,192.0,192.0,186.0,202.0,199.0,225.0,235.0,232.0,235.0,216.0
      Government,445.0,382.0,362.0,354.0,361.0,368.0,361.0,351.0,348.0,380.0,367.0,361.0,358.0,352.0,360.0,371.0
        Federal Government,58.0,57.0,57.0,50.0,48.0,48.0,47.0,41.0,45.0,42.0,40.0,36.0,36.0,34.0,35.0,34.0
        Total State and Local Government,387.0,326.0,306.0,304.0,312.0,319.0,313.0,309.0,304.0,338.0,328.0,323.0,324.0,320.0,327.0,340.0
          State Government,40.0,50.0,50.0,61.0,70.0,67.0,57.0,51.0,46.0,48.0,42.0,40.0,40.0,38.0,38.0,40.0
          Local Government,347.0,276.0,256.0,243.0,242.0,252.0,259.0,258.0,256.0,293.0,284.0,286.0,286.0,282.0,288.0,301.0
