TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,845105.3283767038,850344.3957420163,856070.9413369714,871546.9613259669,897381.457891012,912628.4875183554,924041.2979351033,931274.1312741312,937795.2755905512,944319.036869827,913953.488372093,936398.4674329502,955882.3529411765,949502.6778882938,947136.563876652,943409.7421203438
Civilian Unemployment per mil,154894.67162329616,149029.4301815905,143246.9304229195,129143.64640883976,102618.54210898797,88105.7268722467,77433.62831858407,67953.66795366796,61417.32283464567,56433.4085778781,84496.12403100776,62835.24904214559,44891.640866873066,50497.3221117062,55066.07929515418,57306.59025787966
Total Farm per mil,11152.416356877324,8766.437069505322,8185.538881309686,12430.939226519336,12738.853503184713,11013.215859030837,13274.336283185841,13127.413127413129,13385.826771653543,12791.572610985704,13178.29457364341,13793.103448275862,13157.894736842105,13006.88599846978,14684.287812041115,10028.653295128941
Total Nonfarm per mil,441759.60346964066,445835.942391985,428376.5347885403,439917.12707182317,451521.585279547,445668.1350954479,441740.412979351,439382.23938223935,442519.68503937003,463506.3957863055,455813.9534883721,470498.0842911877,485294.1176470588,481254.78194338176,483847.2834067548,484957.02005730657
Total Private per mil,166047.08798017347,206011.2711333751,181446.11186903136,194751.38121546962,196744.5152158528,175477.23935389135,175516.22418879057,169884.16988416988,167716.53543307085,175319.78931527465,172093.02325581395,196168.58237547893,207430.34055727554,214996.17444529457,220998.5315712188,219197.70773638968
Goods Producing per mil,19826.517967781907,15028.177833437696,19781.718963165076,19337.016574585636,29016.277423920736,32305.433186490456,35398.23008849558,19305.019305019305,22047.24409448819,24078.254326561324,18604.6511627907,22988.505747126437,25541.795665634676,36725.32517214996,47723.93538913363,65186.2464183381
Service-Providing per mil,422552.6641883519,430807.7645585473,408594.81582537515,419889.50276243093,423213.02193913655,412628.48751835537,406342.1828908554,420849.4208494208,419685.0393700787,437170.80511662905,438759.6899224806,449042.14559386973,458204.3343653251,446059.67865340476,437591.77679882525,420487.10601719195
Private Service Providing per mil,146840.14869888476,190983.09329993738,161664.39290586632,175414.36464088398,167728.23779193204,143171.80616740088,141592.9203539823,148262.54826254825,146456.69291338584,151993.98043641835,154263.56589147286,172413.7931034483,181888.54489164086,177505.73833205816,172540.38179148312,154727.79369627507
Government per mil,275712.5154894672,239198.49718221667,246930.42291950886,244475.13812154694,255484.78414720454,270190.89574155654,266224.18879056047,271042.471042471,274015.74803149607,285929.2701279157,284496.12403100776,276628.35249042144,277089.78328173375,269319.05126243306,264317.1806167401,265759.3123209169
Federal Government per mil,35935.563816604714,35691.92235441453,38881.30968622101,34530.386740331494,33970.27600849257,35242.29074889868,34660.76696165192,31660.231660231657,35433.07086614173,31602.70880361174,31007.751937984496,27586.206896551725,27863.77708978328,26013.77199693956,25697.50367107195,24355.300859598854
Total State and Local Government per mil,239776.95167286246,204132.74890419535,208731.241473397,209944.75138121546,220806.7940552017,234214.3906020558,230825.9587020649,238610.0386100386,239370.07874015748,254326.56132430397,254263.56589147286,247509.5785440613,250773.99380804953,244835.50114766642,240088.10572687225,243553.00859598856
State Government per mil,24783.14745972739,31308.703819661867,34106.41200545702,42127.071823204424,49539.98584571833,49192.364170337736,42035.398230088496,39382.239382239386,36220.47244094488,36117.38148984198,32558.13953488372,30651.34099616858,30959.752321981425,29074.215761285384,27900.146842878123,28653.29512893983
Local Government per mil,214993.80421313507,172824.0450845335,174624.82946793997,167817.67955801106,171266.80820948337,185022.02643171806,191002.9498525074,199227.79922779923,201574.8031496063,220466.5161775771,220155.03875968992,219157.08812260538,221362.22910216718,215761.28538638103,211453.74449339206,215616.04584527222
