TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,19662.0,19362.0,18827.0,18252.0,17998.0,17890.0,17174.0,17078.0,16636.0,16478.0,16302.0,16019.0,15898.0,16069.0,16277.0,16686.0
  Civilian Employment,16322.0,16069.0,15878.0,15830.0,15977.0,16208.0,15641.0,15772.0,15458.0,15347.0,14603.0,14656.0,14933.0,15011.0,15139.0,15419.0
  Civilian Unemployment,3341.0,3292.0,2951.0,2422.0,2020.0,1683.0,1532.0,1306.0,1179.0,1132.0,1699.0,1366.0,967.0,1059.0,1140.0,1264.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",13378.0,13189.0,13035.0,13146.0,13372.0,13682.0,14018.0,14252.0,14038.0,14093.0,13648.0,13737.0,14047.0,14130.0,14325.0,14444.0
  Total Farm,700.0,714.0,756.0,740.0,776.0,822.0,858.0,922.0,879.0,824.0,1006.0,1000.0,995.0,955.0,1071.0,1103.0
  Total Nonfarm,12678.0,12475.0,12279.0,12406.0,12596.0,12861.0,13159.0,13330.0,13159.0,13269.0,12642.0,12737.0,13052.0,13175.0,13254.0,13341.0
    Total Private,8363.0,8058.0,7994.0,8280.0,8417.0,8589.0,8865.0,9081.0,8990.0,9078.0,8612.0,8910.0,9197.0,9204.0,9241.0,9149.0
    Goods Producing,1197.0,1136.0,1097.0,1133.0,1158.0,1202.0,1222.0,1394.0,1489.0,1497.0,1497.0,1581.0,1599.0,1504.0,1578.0,1560.0
"     Mining, Logging and Construction",458.0,448.0,462.0,512.0,502.0,508.0,496.0,532.0,599.0,606.0,624.0,694.0,747.0,743.0,816.0,787.0
      Mining and Logging,123.0,125.0,148.0,189.0,189.0,175.0,135.0,138.0,164.0,147.0,157.0,172.0,178.0,163.0,184.0,181.0
      Construction,334.0,322.0,313.0,322.0,313.0,333.0,361.0,393.0,435.0,459.0,468.0,522.0,569.0,580.0,632.0,606.0
      Manufacturing,739.0,688.0,635.0,622.0,655.0,694.0,730.0,862.0,889.0,891.0,872.0,890.0,852.0,761.0,764.0,774.0
        Durable Goods,590.0,550.0,507.0,491.0,533.0,548.0,599.0,722.0,748.0,743.0,703.0,704.0,658.0,578.0,569.0,564.0
       Non-Durable Goods,149.0,138.0,128.0,131.0,122.0,146.0,133.0,138.0,142.0,149.0,169.0,185.0,197.0,182.0,194.0,206.0
    Service-Providing,11481.0,11339.0,11182.0,11272.0,11438.0,11658.0,11935.0,11936.0,11672.0,11772.0,11148.0,11156.0,11453.0,11672.0,11679.0,11781.0
    Private Service Providing,7167.0,6922.0,6898.0,7147.0,7259.0,7387.0,7642.0,7688.0,7499.0,7582.0,7117.0,7332.0,7598.0,7702.0,7665.0,7589.0
"      Trade, Transportation & Utilities",2005.0,1958.0,2005.0,2053.0,2108.0,2142.0,2133.0,2091.0,2086.0,2118.0,2122.0,2185.0,2174.0,2118.0,2061.0,2011.0
        Wholesale Trade,288.0,231.0,246.0,249.0,278.0,243.0,210.0,201.0,210.0,227.0,214.0,188.0,201.0,192.0,157.0,150.0
        Retail Trade,1518.0,1496.0,1523.0,1511.0,1523.0,1577.0,1602.0,1591.0,1607.0,1627.0,1644.0,1713.0,1674.0,1602.0,1535.0,1506.0
"        Transportation, Warehousing, and Utilities",200.0,231.0,236.0,293.0,307.0,322.0,321.0,300.0,268.0,266.0,265.0,285.0,305.0,323.0,367.0,360.0
      Information,183.0,177.0,153.0,139.0,141.0,138.0,138.0,136.0,130.0,131.0,122.0,122.0,120.0,119.0,111.0,110.0
      Financial Activities,374.0,364.0,345.0,318.0,308.0,289.0,284.0,282.0,294.0,303.0,300.0,284.0,293.0,273.0,261.0,241.0
      Professional and Business Services,701.0,716.0,732.0,688.0,741.0,795.0,794.0,773.0,714.0,692.0,641.0,590.0,576.0,568.0,552.0,530.0
      Private Education and Health Services,2002.0,1936.0,1821.0,2021.0,1992.0,2042.0,2102.0,2211.0,2216.0,2228.0,2143.0,2168.0,2278.0,2342.0,2455.0,2467.0
      Leisure and Hospitality,1626.0,1478.0,1522.0,1560.0,1593.0,1570.0,1752.0,1752.0,1657.0,1710.0,1409.0,1577.0,1695.0,1765.0,1717.0,1671.0
      Other Services,276.0,293.0,319.0,368.0,377.0,409.0,442.0,444.0,407.0,402.0,378.0,409.0,462.0,522.0,512.0,556.0
      Government,4314.0,4418.0,4285.0,4126.0,4179.0,4272.0,4295.0,4248.0,4172.0,4192.0,4030.0,3827.0,3855.0,3972.0,4014.0,4193.0
        Federal Government,831.0,796.0,777.0,745.0,740.0,832.0,821.0,797.0,758.0,758.0,776.0,686.0,640.0,622.0,625.0,587.0
        State & Local Government,3483.0,3622.0,3508.0,3381.0,3439.0,3439.0,3476.0,3451.0,3414.0,3434.0,3258.0,3140.0,3216.0,3348.0,3391.0,3609.0
          State Government,491.0,491.0,477.0,450.0,489.0,496.0,470.0,460.0,449.0,447.0,458.0,475.0,462.0,469.0,492.0,529.0
          Local Government,2992.0,3131.0,3032.0,2931.0,2950.0,2943.0,3007.0,2992.0,2963.0,2986.0,2798.0,2665.0,2755.0,2879.0,2901.0,3080.0
