TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,830129.1831960126,829924.594566677,843363.2548998778,867302.2134560596,887709.7455272807,905980.9949692566,910737.1608245022,923527.3451223797,929189.709064679,931363.0294938706,895779.6589375536,914913.5401710469,939300.540948547,934158.939573091,930085.3965718498,924068.0810260097
Civilian Unemployment per mil,169921.6763299766,170023.75787625246,156742.97551388963,132697.78654394037,112234.69274363818,94074.90217998881,89204.61162221964,76472.65487762033,70870.40153883146,68697.6574827042,104220.34106244631,85273.73743679382,60825.261039124416,65903.29205302135,70037.47619340173,75752.12753206282
"Total, All Industries per mil",680398.7386837554,681179.6302034914,692356.7217294312,720249.835634451,742971.4412712523,764784.7959754053,816233.8418539653,834523.948940157,843832.6520798268,855261.5608690375,837197.8898294688,857544.1663025158,883570.2604101144,879332.8769680752,880076.1811144559,865635.8623996164
Total Farm per mil,35601.668192452446,36876.3557483731,40155.0964041005,40543.50208196362,43115.90176686299,45947.456679709336,49959.24071270525,53987.58636842722,52837.22048569368,50006.06869765748,61710.21960495645,62425.86928022973,62586.48886652409,59431.20293733275,65798.36579222216,66103.3201486276
Total Nonfarm per mil,644797.070491303,644303.2744551182,652201.6253253306,679706.3335524874,699855.5395043894,718893.2364449413,766216.3735879818,780536.3625717298,790995.4315941333,805255.4921713801,775487.6702245123,795118.297022286,820983.7715435904,819901.6740307424,814277.8153222338,799532.5422509888
Total Private per mil,425338.21584782825,416176.01487449644,424602.96382854413,453648.9151873767,467663.0736748528,480100.6148686417,516187.25981134275,531736.7373228716,540394.3255590287,550916.3733462798,528278.7388050546,556214.4952868469,578500.4403069568,572779.8867384405,567733.6118449345,548303.9673978185
Goods Producing per mil,60878.85260909368,58671.62483214544,58267.3819514527,62075.388998465925,64340.48227580842,67188.37339295696,71154.07010597414,81625.48307764374,89504.68862707382,90848.40393251608,91829.22340817077,98695.2993320432,100578.68914328846,93596.36567303503,96946.61178349819,93491.54980222942
"Mining, Logging and Construction per mil",23293.662903061744,23138.105567606653,24539.225580283633,28051.72035941267,27891.98799866652,28395.75181665735,28880.86642599278,31151.18866377796,36006.25150276509,36776.30780434519,38277.511961722485,43323.553280479435,46987.04239526985,46238.09820150601,50132.08822264545,47165.288265611896
Mining and Logging per mil,6255.721696673787,6455.94463381882,7861.050618792159,10355.029585798817,10501.166796310701,9782.001117942986,7860.719692558518,8080.571495491275,9858.138975715316,8920.985556499574,9630.720157035947,10737.249516199512,11196.376902755064,10143.755056319622,11304.294403145543,10847.41699628431
Construction per mil,16987.08168039874,16630.51337671728,16625.059754607744,17641.902257286874,17390.821202355815,18613.750698714364,21020.14673343426,23012.06230237733,26148.112527049772,27855.322247845615,28708.133971291867,32586.303764279914,35790.66549251479,36094.34314518639,38827.79381949991,36317.87126932758
Manufacturing per mil,37585.18970603194,35533.51926453879,33728.15637116906,34078.45715538023,36392.9325480609,38792.621576299614,42506.11389309422,50474.29441386579,53438.32652079827,54072.096128170895,53490.36927984296,55559.02365940446,53591.64674801862,47358.267471529034,46937.39632610432,46386.19201725998
Durable Goods per mil,30007.12033363849,28406.15638880281,26929.409890051524,26901.161516546133,29614.4016001778,30631.63778647289,34878.30441364854,42276.613186555805,44962.73142582351,45090.423595096494,43123.54312354312,43947.81197328173,41388.85394389232,35969.8798929616,34957.301714075074,33800.79108234448
Non-Durable Goods per mil,7578.069372393449,7127.3628757359775,6798.746481117544,7177.295638834101,6778.530947883098,8160.983789826718,7744.264586002097,8080.571495491275,8535.705698485213,9042.359509649228,10366.82615629984,11548.7858168425,12391.495785633413,11326.155952455038,11918.658229403452,12345.679012345678
Service-Providing per mil,583918.2178822093,585631.6496229728,593934.243373878,617576.1560376944,635515.0572285809,651648.9659027389,694945.8483754513,698910.8794940859,701610.9641740803,714407.0882388639,683842.4733161576,696422.9976902428,720405.0824003018,726367.5399838197,717515.512686613,706040.9924487594
Private Service Providing per mil,364510.2227647238,357504.39004235103,366388.69708397513,391573.52618891076,403322.5913990444,412912.24147568474,444974.9621520904,450169.8091111371,450769.4157249339,460128.6563903386,436572.19973009446,457706.4735626444,477921.75116366835,479307.98431763024,470909.87282668793,454812.4175955891
"Trade, Transportation & Utilities per mil",101973.34960838166,101125.916744138,106495.98980188028,112480.82401928556,117124.12490276697,119731.69368362213,124199.37114242458,122438.22461646562,125390.71892281798,128535.01638548367,130168.07753649859,136400.52437730198,136746.76059881746,131806.5841060427,126620.38459175522,120520.1965719765
Wholesale Trade per mil,14647.54348489472,11930.58568329718,13066.34089339778,13642.340565417488,15446.160684520502,13583.007266629402,12227.786188424363,11769.52804778077,12623.22673719644,13775.943682485738,13127.223653539444,11736.063424683189,12643.099760976223,11948.472213578942,9645.512072249187,8989.572096368212
Retail Trade per mil,77204.7604516326,77264.74537754364,80894.46008392202,82785.44817006355,84620.51339037671,88149.80435997764,93280.54035169442,93160.7916617871,96597.73984130801,98737.71088724361,100846.52189915348,106935.51407703353,105296.26368096616,99695.06503204929,94304.84733058918,90255.30384753685
"Transportation, Warehousing, and Utilities per mil",10171.905197843556,11930.58568329718,12535.188824560471,16053.035283804515,17057.450827869765,17998.882057015093,18691.04460230581,17566.45977280712,16109.641740803076,16142.735768903995,16255.674150410994,17791.37274486547,19184.803119889293,20100.81523430207,22547.152423665295,21574.973031283713
Information per mil,9307.293256026855,9141.617601487449,8126.626653210815,7615.603769449924,7834.2038004222695,7713.806595863612,8035.402352393152,7963.461763672561,7814.378456359702,7949.993931302343,7483.74432584959,7615.956052188027,7548.119260284312,7405.563507374448,6819.4384714627995,6592.352870670024
Financial Activities per mil,19021.46271996745,18799.710773680406,18324.74637488713,17422.74819197896,17113.01255695077,16154.276131917271,16536.625131011995,16512.472186438696,17672.517432075016,18388.153902172595,18402.649981597348,17728.946875585243,18429.991193860864,16989.23392868256,16034.89586533145,14443.245834831594
Professional and Business Services per mil,35652.52771844166,36979.6508625142,38880.33143889096,37694.49923296077,41171.24124902767,44438.23365008385,46232.677302899734,45262.91134793301,42918.970906467905,41995.38778978031,39320.328794013,36831.26287533554,36230.9724493647,35347.5636318377,33912.88320943662,31763.154740501017
Private Education and Health Services per mil,101820.77103041399,99989.67048858589,96722.7917352738,110727.59149682226,110678.96432936992,114141.97875908329,122394.31699080004,129464.80852558848,133205.0973791777,135210.58380871464,131456.2630352104,135339.28459953805,143288.46395773054,145746.46835521812,150826.3193463169,147848.49574493588
Leisure and Hospitality per mil,82697.58925846811,76335.08935027373,80841.3448770383,85470.08547008547,88509.83442604734,87758.52431525991,102014.67334342611,102588.12507319357,99603.27001683098,103774.72994295423,86431.11274690223,98445.59585492229,106617.18455151592,109838.82008836891,105486.26896848314,100143.83315354188
