TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,873419.721090954,878208.1194587029,892623.1617283218,908366.8682878658,923828.2792387271,938404.7188083936,946186.5178934383,953287.7369251756,961511.7345662427,962904.1691035174,906142.2064680883,927945.2383811697,958707.5235483487,956033.8905427067,950196.4409521609,947382.9239057053
Civilian Unemployment per mil,126659.26200172775,121707.48900427915,107337.25234051817,91593.63041599802,76216.14151464897,61512.34101099201,53850.862314675935,46754.165832491395,38488.26543375738,37211.87140854615,93819.67869189869,72093.19082502702,41292.47645165136,43891.33716229794,49840.536168245904,52617.07609429465
Total Farm per mil,6871.529063309886,6989.604948322594,7382.776161352255,8231.082582397235,8844.665561083471,8659.930622978334,8256.353467247929,7994.114990478762,7722.66953274838,6809.257247890384,7184.64734244278,7604.179176173892,7831.167282699416,6930.457092385844,6665.125953316385,6167.821698056883
Total Nonfarm per mil,584929.0386276687,585736.8374023292,593873.0875047008,609144.5500555487,623247.8480612809,637624.5932272024,628492.1291299289,637154.7096371687,649964.3284010786,658915.1604608201,625678.9205877308,643247.2679236219,667223.0833432693,666679.1287158326,666859.2558354518,658441.3735458775
Total Private per mil,462090.5837344194,465186.008876004,474620.4698850029,490803.60449327243,502694.8590381426,516751.47706704005,510978.09987057105,520604.5171172765,534726.5331838523,543997.9205540238,514073.9046747851,533046.715503783,555659.9499224991,555380.5676151844,553769.3552114628,547172.5841932921
Goods Producing per mil,79269.40639269406,82366.14012966512,84822.7539932308,87806.44364893223,90075.41656795389,94932.35496445769,97618.41349051711,100021.88255122612,105161.7266906948,110855.82198457124,106802.54607131287,109484.80845442537,112831.76344342434,108770.32287611632,104807.02565287727,100444.10153254066
"Mining, Logging and Construction per mil",37270.14685918795,40582.40088958608,41936.34582269462,44438.9581533144,43473.11063728974,45943.98122624618,50309.08759584519,50786.14229245331,54665.567178422854,59296.7016644851,54871.07655365617,57081.78215443737,59296.5303445809,56275.498520910536,52308.75895539635,50059.014526299354
Mining and Logging per mil,1688.2636060718253,1945.9695594761768,1979.2965580032858,1975.0648068139735,2260.5227829108426,2195.4753692057748,2219.4498567870774,2211.5344324271473,2626.726829675064,2320.8102412714325,1943.8568406609115,1479.5244385733158,1550.0178848217479,1364.5943836659922,924.4280101687082,918.5140280054927
Construction per mil,35581.883253116124,38636.43133010991,39957.049264691326,42463.89334650044,41212.58785437889,43748.50585704041,48089.63773905811,48574.60786002617,52038.84034874779,56975.891423213674,52922.45535799363,55602.257715864056,57746.51245975916,54910.90413724454,51384.33094522764,49140.50049829386
Manufacturing per mil,41999.25953350611,41783.739240079034,42886.40817053619,43367.485495617824,46602.30593066414,48993.25257236531,47309.32589467192,49235.74025877281,50496.15951227196,51559.12032008614,51931.4695176567,52398.2226492134,53535.23309884345,52494.82435520579,52498.26669748093,50385.0870062413
Non-Durable Goods per mil,25215.35233864001,25029.537037956332,24825.32707875621,24688.31008517467,27723.485745873808,29312.035595973986,28656.60204563189,29643.873118449785,28375.13550574915,28392.792491714707,29500.886170030302,30945.11828990032,31677.596279957073,30726.739974670883,29544.719204991914,28147.862388228325
Service-Providing per mil,505654.6957916821,503370.69727266417,509050.33351147,521333.16874459945,533172.431493327,542687.359428591,530878.3881654261,537132.8270859426,544802.6017103837,548059.3384762489,518876.37451641797,533767.2631199711,554391.319899845,557908.8058397162,562052.2301825746,557997.2720133368
Private Service Providing per mil,382821.17734172527,382824.83295439876,389797.71589177207,402997.1608443402,412619.4424701887,421814.2432684286,413364.3589060682,420577.9787040874,429564.8064931575,433142.0985694526,407271.35860347224,423561.90704935754,442828.18647907476,446610.2447390681,448962.3295585856,446723.8900906114
"Trade, Transportation, and Utilities per mil",121767.24669875354,120173.5487137737,122468.9745264533,123071.22577459573,127546.78986022269,131689.49147911614,127092.70758864949,127570.61778632387,128941.24841330876,125360.88599251771,122682.14129171193,128497.6582202474,131832.59806843926,131164.62522723767,131846.544950312,129643.66248283527
Wholesale Trade per mil,20362.828582006663,20020.651105529134,20782.6138590345,20654.24021725713,21430.545684277025,21305.868749603593,19353.602751183316,19982.959545215403,20499.587691908568,20344.22257498538,19571.97034665447,19176.17389215804,19592.226064146893,19394.064014431053,18987.751328865266,18829.5375741126
Retail Trade per mil,80918.17845242503,81909.4329881554,83833.10571422917,84967.28798913716,86334.20200584379,89526.6067220577,86871.60365765337,86831.82561003431,86399.39219301578,82699.75213746623,79564.72852705201,83823.70601657259,83820.19792536067,81861.64321464789,80115.55350127109,78532.94939446963
Food and Beverage Retailers per mil,14601.999259533506,14396.203373675797,14721.018150149437,15884.458708801383,16534.391534391532,16588.036122888076,15769.775298223973,15364.344477914918,15250.766707743054,15354.480556251798,16475.139595601548,17331.571994715985,17250.50673661619,16903.211937396896,17101.9181881211,16992.509518101615
General Merchandise Retailers per mil,18595.581883253115,18948.382164593284,18803.317301031213,17612.64041476361,16287.609571191662,18134.6265496397,17755.59885429662,17459.482361266953,17682.92117966441,17406.076809535745,17389.895755912563,18772.667227092592,19038.988911410517,18576.2420379189,18026.346198289808,17451.76653210436
"Clothing, Clothing Accessories, Shoe, and Jewelry per mil",12010.366530914474,11417.678537742873,11875.779348019712,11934.329095173436,11806.049119481955,11748.232642327788,10863.62298322096,10438.442521056135,9765.67928916232,9051.159940958587,6512.873287214377,7407.229494415757,7392.392989149875,7439.843352041985,7048.7635775364,6953.15119200158
"Transportation, Warehousing, and Utilities per mil",20486.239664321856,18243.46462008916,17853.254953189637,17444.759906184423,19782.042170101875,20857.01600745486,20872.173705827106,20755.832631074154,22042.268528384404,22316.9112800661,23545.44241800545,25497.77831151675,28415.404793132227,29908.917998158733,32738.6179801248,32281.17551425304
Information per mil,6333.456744415648,5584.734067374232,5566.771569384241,5554.8697691643,5429.20319039722,5405.748242399996,4943.532523117323,5084.201263600937,5248.820984165516,5337.8635549242945,3968.707716349361,4044.6739522036746,4292.357219506379,4168.555445993374,4275.479547030275,4133.313126024717
Financial Activities per mil,25753.424657534248,25357.174769908957,24949.033113631416,25019.13344031601,23853.94456289979,24028.258207418756,23867.26288098609,23782.14290702709,24089.910959982954,23825.437936892526,23583.55725801841,23259.277050558423,22654.10754739478,21884.916091465213,22223.249364455743,21649.375640089464
Finance and Insurance per mil,18797.97605825003,18863.990627575182,18432.199196405596,18106.406616467102,17190.8315565032,17197.8903921119,16666.90029296738,16565.556864370086,16561.81378498828,15897.550152709315,15960.589255426601,15213.162003122372,14307.857398354596,13164.597187627054,13288.652646175178,13318.453406079645
Professional and Business Services per mil,44427.989633469086,44469.37580047855,44741.99869366427,46907.789161831875,47174.84008528785,46265.984280396355,43183.4854240551,44384.3320933221,46868.77484272068,47265.62137373399,45976.02576563185,49876.30599255434,51904.13735543102,51793.834089623946,51153.223942685465,49732.942046357406
Private Education and Health Services per mil,102554.60940392446,103876.05365316072,106758.30809730222,114963.58474262437,118371.4364684514,122375.79707952988,124209.75903783344,128813.73293044607,131415.0969618916,134606.9939937431,133082.72826024814,132580.76137864776,136005.72314295932,139810.17183608044,144404.8994684539,147683.27799286315
Health Care and Social Assistance per mil,95149.94446501296,96553.8467648256,99707.06410941551,107601.53067522528,110805.10147674328,114857.51364853854,116074.89124695702,119967.59520073749,122149.7465926674,124938.4985286063,124311.55070226593,123852.52792122013,126944.08012400144,130538.40725665122,134656.80610122488,136399.33315881566
Leisure and Hospitality per mil,64297.17388621497,65279.335987529914,66098.60855451973,67853.35143809406,70495.7356076759,71962.80376841151,70709.33617422916,70848.25149103979,72385.54975956415,74846.1302810037,58720.67539496503,65209.55926504143,73885.77560510313,74889.12670632714,72220.93829443032,71318.02170448648
Accommodation and Food Services per mil,53190.17647784771,52829.10217333029,53356.88696237357,55835.08208863103,57460.71231145858,58667.98069933209,57705.69627646402,57965.481439406285,59682.75440335776,62160.58150221405,52446.01985783165,57283.5354869701,63231.191129128405,63710.66860451531,61206.378553270166,60098.37285239939
Food Services and Drinking Places per mil,49611.25509070714,48981.84092691693,49521.999881242205,51929.3914331564,53428.29503277264,54642.94252245484,53888.24252279024,54627.22841193205,56249.942091560195,58215.20409205261,49587.406856859714,54319.68295904888,59654.226779539764,59972.05385474547,57235.96024959556,54913.36116430838
Other Services per mil,17687.276317413303,18079.645754112847,19214.021336816895,19627.20651771386,19742.55705598989,20086.16021115594,19353.602751183316,20099.356094290517,20615.404571523875,21894.523816154695,19257.522916547558,20093.671190104476,22258.2568260403,22899.01534234028,22842.616131268776,22567.889668094955
