TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,244733.0,245117.0,245550.0,249242.0,255842.0,257767.0,257508.0,258142.0,258250.0,255142.0,243567.0,240925.0,244525.0,246642.0,246633.0,249429.0
  Civilian Employment,218058.0,220075.0,223742.0,231367.0,241292.0,246175.0,247142.0,249317.0,251008.0,248125.0,223875.0,227458.0,236683.0,237800.0,236458.0,238571.0
  Civilian Unemployment,26667.0,25033.0,21825.0,17883.0,14525.0,11592.0,10358.0,8850.0,7233.0,7000.0,19692.0,13467.0,7842.0,8842.0,10183.0,10857.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Wage and Salary,174392.0,176650.0,179525.0,188033.0,197250.0,202950.0,208050.0,211725.0,215400.0,215600.0,196275.0,200525.0,209833.0,210625.0,209983.0,209629.0
Total Farm,5650.0,5792.0,5958.0,6258.0,6092.0,5992.0,6133.0,6117.0,6725.0,6608.0,6192.0,5908.0,6117.0,6283.0,6208.0,6229.0
  Total Nonfarm,168742.0,170858.0,173567.0,181775.0,191158.0,196958.0,201917.0,205608.0,208675.0,208992.0,190083.0,194617.0,203717.0,204342.0,203775.0,203400.0
    Total Private,141942.0,142450.0,145542.0,152908.0,159933.0,165200.0,169633.0,173292.0,177608.0,179500.0,163983.0,169342.0,177342.0,177042.0,175817.0,175286.0
    Goods Producing,29017.0,28992.0,28608.0,30267.0,31450.0,33767.0,35258.0,36233.0,38767.0,40117.0,38467.0,39100.0,40192.0,39275.0,38058.0,37157.0
"      Mining, Logging and Construction",9075.0,8800.0,8950.0,10133.0,10775.0,11808.0,12600.0,13275.0,15392.0,16733.0,16158.0,16250.0,16583.0,16575.0,16542.0,15886.0
      Mining and Logging,200.0,200.0,200.0,242.0,267.0,200.0,200.0,175.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
      Construction,8875.0,8600.0,8750.0,9892.0,10508.0,11608.0,12400.0,13100.0,15192.0,16533.0,15958.0,16050.0,16383.0,16375.0,16342.0,15686.0
        Specialty Trade Contractors,5483.0,5417.0,5700.0,6433.0,6867.0,7583.0,8108.0,8592.0,9825.0,10542.0,10425.0,10533.0,10692.0,10800.0,10775.0,10371.0
      Manufacturing,19942.0,20192.0,19658.0,20133.0,20675.0,21958.0,22658.0,22958.0,23375.0,23383.0,22308.0,22850.0,23608.0,22700.0,21517.0,21271.0
        Durable Goods,8925.0,9300.0,8550.0,8625.0,8392.0,8492.0,8458.0,8633.0,8958.0,8933.0,8792.0,8875.0,8975.0,8850.0,8267.0,8014.0
        Non-Durable Goods,11017.0,10892.0,11108.0,11508.0,12283.0,13467.0,14200.0,14325.0,14417.0,14450.0,13517.0,13975.0,14633.0,13850.0,13250.0,13257.0
