TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,891003.6652188303,897836.5433650053,911187.130930564,928282.5526997858,943128.9624064852,955029.15423619,959744.9399630303,965813.3895297936,971957.4056147145,972497.6679652899,919151.609208144,944102.9365985265,967929.6595440139,964150.4691009641,958744.3691638993,956468.5742235265
Civilian Unemployment per mil,108963.64609594947,102126.73947543418,88882.10140500916,71749.54461928568,56773.321034075714,44970.84576380996,40223.9930409929,34283.456392218235,28007.744433688287,27435.70247156485,80848.39079185604,55897.06340147349,32070.340455986097,35849.53089903585,41288.06769572604,43527.41661955907
Total Farm per mil,23086.383936780083,23629.532019402977,24263.897373243737,25108.12784362186,23811.571204102533,23245.79950109983,23816.735790732713,23696.26019787559,26040.658276863505,25899.303133157224,25422.163100912687,24522.154197364325,25015.847050403845,25474.169038525477,25171.003069337843,24973.03841975071
Total Nonfarm per mil,689494.2651787866,697046.7164660143,706849.9287314193,729311.271776025,747172.0827698344,764093.1538947965,784119.328331547,796491.8533210403,808034.8499515973,819120.3329910403,780413.6028279694,807790.8062675106,833113.1786115939,828496.3631498284,826227.6337716364,815462.5163874289
Total Private per mil,579987.169691051,581151.0421553788,592718.3872938302,613492.1080716733,625124.1000304875,640888.8647499485,658748.4660670736,671304.9406915574,687736.6892545983,703529.7990922702,673256.2292921455,702882.6398256719,725250.99683059,717809.6187997179,712868.9185956462,702749.0788961989
Goods Producing per mil,118565.94737938896,118278.20999767458,116505.80329871716,121436.1945418509,122927.4317742982,130998.14949159513,136920.01801885766,140360.73169031,150114.23039690222,157234.01086453817,157931.90374722355,162291.169451074,164367.6515693692,159238.89686265925,154310.25045310237,148968.2434680811
"Mining, Logging and Construction per mil",37081.22729668659,35901.22268141337,36448.78843412747,40655.26676884313,42115.8371182214,45808.81183394306,48930.51866349783,51425.184588327356,59601.16166505324,65583.0870652421,66339.03607631577,67448.37605063817,67817.19660566404,67202.6662125672,67071.31649049398,63689.46674203882
Mining and Logging per mil,817.2171305054896,815.9368791230311,814.4980655670943,970.9439019105929,1043.6128548088275,775.8945093825043,776.6748994206005,677.9214540834114,774.4433688286545,783.8772134732816,821.1292991250867,830.1338590847774,817.9122789080872,810.8919000008109,810.9214906358841,801.8313828784944
Construction per mil,36264.010166181106,35085.28580229033,35634.290368560374,39688.33503181647,41072.22426341257,45032.91732456055,48153.84376407723,50747.26313424394,58826.718296224586,64799.20985176882,65517.90677719067,66618.24219155339,66999.28432675597,66391.77431256638,66260.39499985808,62887.635359160326
Manufacturing per mil,81484.72008270236,82376.9873162612,80057.0148645897,80776.91560812383,80811.59465607679,85185.45818510516,87989.49935535983,88935.54710198264,90513.06873184898,91647.0044132287,91588.76202441216,94842.79340043582,96546.36540231059,92036.23065009204,87242.98857006159,85278.77672604228
Durable Goods per mil,36468.314448807476,37941.06487922094,34819.79230299328,34604.9221238796,32801.49467249318,32944.480868381135,32845.581496497194,33442.83378915481,34687.31848983543,35011.87573978412,36096.843989538815,36837.189996887,36703.81351600041,35881.96657503588,33519.43981543426,32129.383511941272
Non-Durable Goods per mil,45016.405633894894,44435.922437040266,45237.22256159641,46171.99348424423,48010.09998358362,52244.85678927093,55143.91785886263,55492.71331282782,55825.75024201356,56635.12867344459,55496.023681368984,58005.60340354882,59842.55188631019,56154.26407505615,53723.54875462732,53149.393214101
Service-Providing per mil,570928.3177993976,578772.5861527352,590340.0529423743,607875.077234174,624244.6509955362,633098.8838757483,647195.4269381922,656131.1216307303,657920.6195546951,661886.3221265022,622485.8047272414,645499.6368164367,668745.5270422247,669257.4662871693,671917.383318534,666494.2729193479
Private Service Providing per mil,461421.2223116621,462872.8321577043,476208.51150478516,492059.9256947064,502196.6682561894,509890.7152583535,521828.44804821594,530940.3351643669,537626.3310745402,546295.7882277321,515328.43119141756,540591.4703745978,560883.3452612207,558570.7219370586,558554.6135350906,553780.8354281179
"Trade, Transportation, and Utilities per mil",129700.53078252627,131231.20795375272,135748.32009773978,139924.25032699143,139930.1131166892,140242.93257088767,141420.84906100004,141491.89205940915,141335.91481122942,141360.49729170423,139694.62201365537,145377.19207222163,143204.17135262242,138224.63327413824,135050.8650505001,133504.92524926932
Wholesale Trade per mil,25844.49175223611,25873.358436991315,27318.265119120344,28486.370675889295,28208.816378858828,27769.26449079983,28317.566832875094,28569.5469935152,28944.82090997096,29720.704548839472,30209.34691481194,30955.69160527135,29751.55914528167,27197.314326027197,25917.050840722855,25714.732448913317
Retail Trade per mil,87920.3049854331,89753.05670353341,92445.5304418652,94919.79682397027,95078.212334175,95919.9587224121,96987.27806514749,97361.14231701932,96352.37173281703,95013.75704509646,92684.96963874417,95984.2274566774,94640.62979245475,93082.28120109308,90957.00899717394,90033.63682651175
Food and Beverage Retailers per mil,25946.643893549295,27162.5387060057,28609.244553044187,29690.02014106772,29479.131651566204,29515.027136910467,30484.489802258573,30281.78289468587,29943.85285575992,29364.040416709126,30759.50354522575,31266.99180242814,30434.515898169924,30376.010574030377,30206.82552618668,30068.67685794354
General Merchandise Retailers per mil,12801.706349368495,12851.005846187738,12930.156790877621,13308.350919989407,13125.288263850345,13159.170879127274,13300.557652577785,13202.036088664378,13037.754114230396,13031.958673993306,12284.094314911297,12763.308083428452,12951.640936509559,12872.908912512874,13043.672176878195,12656.908378737036
"Transportation, Warehousing, and Utilities per mil",15935.734044857049,15604.792813227969,15984.524536754225,16518.082827131864,16643.084403655383,16553.70935767573,16116.00416297746,15561.202748874652,16038.722168441433,16626.035697768304,16800.305460099276,18437.273010272907,18811.982414886003,17940.98328751794,18176.805212603344,17756.55597384426
Information per mil,10182.525446098402,10027.864244422051,10454.082671553655,10463.726017284405,10553.388419415107,10377.589062990995,10516.178138154932,10525.214804255022,10327.202323330106,10190.40377515266,9410.141767973495,10343.467884196325,10632.859625805133,10136.148750010138,10408.177332311572,10022.892285981181
Financial Activities per mil,31328.018697927942,31140.23099173048,30034.6161677866,29758.226944094495,29901.267188342805,31423.727629991427,32717.4301380928,33927.063399214385,34462.72991287512,33934.04457125835,30997.631041972025,31474.525267199337,31796.33984255189,28786.662450028787,27299.671982257038,26745.085775912183
Finance and Insurance per mil,20054.508382604716,19345.863404007065,18700.875585420486,18957.47907656013,18828.026672712065,19428.398514937908,20290.63174736319,19950.25993445468,19101.64569215876,18585.728731451505,18545.205220740085,18229.73954550171,17789.592066250894,16250.27367601625,15204.777949422825,14833.880583252148
Professional and Business Services per mil,78179.07678980766,74931.56329426356,75308.49114233354,78706.63852801695,79834.42906168652,80661.99319540516,82327.53933858365,85483.95844147795,89998.06389157793,91713.63397637394,93095.5342883067,98370.86230154612,100161.53767508434,99099.0990990991,97716.03962162403,93413.35610534462
"Professional, Scientific, and Technical Services per mil",38478.66858985098,34644.67988756389,32987.17165546732,33433.36997777261,33516.77988758687,33782.44693851424,33136.83458377992,33865.08200912676,35690.22265246854,37234.16763998087,37977.23008453526,40884.09255992529,39566.50649217871,37402.388887537396,35307.52170228639,33448.39613677639
Management of Companies and Enterprises per mil,8037.3304785214905,7886.029936724095,7464.87477092242,7992.2324487847145,8599.057230634533,8794.764263850686,9094.863072215232,9394.054435155844,9130.687318489836,8426.680044837776,8691.653631239042,8890.733630797966,8792.556998261936,9122.533875009123,9459.399188267587,9164.932706301192
