TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,243692.0,241408.0,241325.0,240433.0,240483.0,241050.0,243567.0,243500.0,244425.0,244508.0,244325.0,242983.0,245083.0,249300.0,253642.0,260414.0
  Civilian Employment,202142.0,201550.0,205258.0,209025.0,213308.0,218092.0,222525.0,225258.0,228667.0,229642.0,217900.0,222908.0,231750.0,233650.0,236150.0,241529.0
  Civilian Unemployment,41542.0,39842.0,36067.0,31417.0,27192.0,22958.0,21025.0,18258.0,15758.0,14875.0,26425.0,20050.0,13333.0,15658.0,17475.0,18886.0
"Total, All Industries",163800.0,163092.0,166333.0,171125.0,175775.0,180983.0,186167.0,189050.0,193583.0,196292.0,187700.0,192583.0,199942.0,200992.0,203917.0,206586.0
  Total Farm,12850.0,12933.0,13375.0,14058.0,14117.0,14600.0,14850.0,14333.0,14442.0,14875.0,14458.0,13958.0,13900.0,12467.0,12700.0,13171.0
  Total Nonfarm,150950.0,150158.0,152958.0,157067.0,161658.0,166383.0,171317.0,174717.0,179142.0,181417.0,173242.0,178625.0,186042.0,188525.0,191217.0,193414.0
    Total Private,124708.0,124500.0,127583.0,131583.0,135558.0,139717.0,143692.0,146400.0,149617.0,151075.0,144400.0,150192.0,156233.0,157408.0,158633.0,160114.0
    Goods Producing,26567.0,26475.0,27025.0,27833.0,28725.0,29775.0,30708.0,30767.0,31750.0,31975.0,31142.0,32700.0,34342.0,34442.0,34550.0,34600.0
"      Mining, Logging, and Construction",5900.0,5792.0,6292.0,6975.0,7517.0,8450.0,8950.0,9333.0,10175.0,10467.0,9808.0,10700.0,11333.0,10708.0,11133.0,11029.0
      Manufacturing,20667.0,20683.0,20733.0,20858.0,21208.0,21325.0,21758.0,21433.0,21575.0,21508.0,21333.0,22000.0,23008.0,23733.0,23417.0,23571.0
Durable Goods,5850.0,5783.0,6050.0,6158.0,6283.0,6258.0,6158.0,5958.0,5783.0,5642.0,5542.0,5808.0,6025.0,5683.0,5508.0,5500.0
        Non-Durable Goods,14817.0,14900.0,14683.0,14700.0,14925.0,15067.0,15600.0,15475.0,15792.0,15867.0,15792.0,16192.0,16983.0,18050.0,17908.0,18071.0
          Food Manufacturing,9958.0,9883.0,9317.0,9058.0,9183.0,9208.0,9392.0,9433.0,9683.0,9633.0,9558.0,9858.0,10442.0,11308.0,11267.0,11286.0
