TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,829497.8907801651,834893.6240721103,850545.9442660313,869369.0134049818,886998.2493565034,904758.3488902717,913608.9864390496,925084.1889117043,935530.3262759538,939200.3533626712,891844.8787475697,917381.0513492714,945598.0218946235,937224.2278379463,931036.6579667405,927480.8574039798
Civilian Unemployment per mil,170469.28089555667,165040.0980911983,149454.0557339687,130668.41906061147,113072.4417110565,95241.65110972828,86321.21757052475,74981.51950718687,64469.67372404623,60836.45524890801,108155.12125243017,82516.06079437656,54401.97810537655,62807.862013638194,68896.31843306708,72522.98263534218
"Total, All Industries per mil",672159.9395958834,675586.5588547189,689248.9381539418,711736.741628645,730924.8470785876,750811.0350549679,764335.8911511002,776386.0369609856,791993.454024752,802803.9982331865,768239.0258876497,792578.0815941857,815813.4183113476,806225.4312073806,803955.9694372383,793298.3633752409
Total Farm per mil,52730.49587183822,53573.203870625664,55423.18450222729,58469.51125677423,58702.694161333646,60568.346816013276,60968.850460037684,58862.42299794661,59085.60908254066,60836.45524890801,59175.27882942802,57444.34795849916,56715.48006185659,50008.02246289611,50070.57190843787,50577.157910097005
Total Nonfarm per mil,619429.4437240451,622009.2126193001,633825.7536517144,653267.2303718707,672222.152917254,690242.6882389546,703367.0406910623,717523.613963039,732911.9361767414,741967.5429842786,709063.7470582216,735133.7336356865,759097.938249491,756217.4087444845,753885.3975288004,742717.365425822
Total Private per mil,511744.3330105215,515724.4167550371,528677.0952035637,547275.1244629482,563690.5727223962,579618.3364447211,589948.5562494098,601232.0328542094,612118.2366779175,617873.4438136993,591016.0646679627,618117.316849327,637469.7551441757,631399.919775371,625420.868783561,614844.0560031335
Goods Producing per mil,109018.76138732498,109669.10790031812,111985.91111571532,115761.97942878059,119447.11268571999,123522.09085252022,126076.1925876658,126353.18275154004,129896.69632811702,130772.81724933334,127461.37317098127,134577.31610853435,140123.95800606324,138154.8335338949,136215.6109792542,132865.36054129194
"Mining, Logging, and Construction per mil",24210.889155163077,23992.576882290563,26072.723505645914,29010.160834827166,31257.926755737408,35054.96784899398,36745.53613584764,38328.54209445585,41628.31134294773,42808.41526657614,40143.25181622838,44036.002518694724,46241.47737705186,42952.266345768156,43892.57299658574,42351.79368236731
Manufacturing per mil,84807.87223216191,85676.53101802757,85913.18761006942,86751.8185939534,88189.18592998257,88467.12300352624,89330.65645181818,88020.53388090349,88268.38498516926,87964.4019827572,87314.02844571779,90541.31358983961,93878.40037864725,95198.5559566787,92323.03798266848,90513.56685892463
Durable Goods per mil,24005.712128424406,23955.295599151643,25069.926447736456,25612.12479152196,26126.586910509264,25961.41879278158,25282.57112006142,24468.17248459959,23659.609287102383,23074.909614409346,22682.90187250588,23902.90678771766,24583.50844407813,22795.82831929402,21715.646462336677,21120.216271014615
