TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,814574.4242082185,817760.7864554888,831162.8316247965,852527.9642058165,872050.2224329878,892357.5418994414,900222.686784221,909915.014164306,921720.7334273625,923975.1664163884,884012.8202254745,907379.2618469705,930039.3922341024,918917.1137876527,914207.650273224,908101.3143599684
Civilian Unemployment per mil,185230.20817504937,181867.83178590934,168463.1967970434,147651.0067114094,127588.46509947383,107262.56983240224,99800.036357026,89699.71671388102,78302.01556030757,76585.15812358518,115807.87592173388,92824.89848694508,69780.52898142938,80704.41035688047,85967.2131147541,92218.22209914152
"Total, All Industries per mil",589358.9771419888,584554.8880393228,590281.1386334639,615950.7829977629,636068.017072014,657162.0111731844,700440.8289401927,703116.1473087819,721324.9010419036,731963.1530582514,707308.8732994151,741782.5465598984,768711.3111986495,769196.5180221298,,
Total Farm per mil,79775.11016562833,81004.91534680502,81019.84249197062,82393.7360178971,82605.06289095138,89944.13407821229,103208.5075440829,100464.58923512748,107306.97483961964,101598.04558800458,94515.54340273887,90919.40203706644,89476.64603263927,90166.30674354921,,
Total Nonfarm per mil,509583.8669763605,503549.9726925178,509261.2961414933,533557.0469798658,553440.3721518416,567217.8770949721,597232.3213961098,602651.5580736543,614040.6751899541,630365.1074702467,612815.7428782751,650863.1445228319,679234.6651660101,679030.2112785806,,
Goods Producing per mil,55527.81817787136,54440.1966138722,51696.07109859651,55749.44071588367,57019.623783393174,62391.06145251397,67601.34520996182,64770.53824362607,66927.52172528322,69861.26364390255,68180.29002398188,70321.89279314021,72594.25998874508,71064.4076852862,,
"Mining, Logging and Construction per mil",22619.228514989038,20207.536865101036,17598.662501649877,21073.825503355707,23327.236185443624,28871.508379888266,33902.92674059262,31342.77620396601,32804.040220210205,36241.79124548939,36241.79124548939,36680.806660163784,39009.56668542487,36912.52755081595,,
Manufacturing per mil,32930.29717585257,34232.65974877116,34097.40859694663,34675.61521252797,33692.38759794956,33519.5530726257,33698.4184693692,33427.76203966006,34123.481505073025,33619.47239841316,31938.498778492503,33641.08613297643,33584.6933033202,34129.61684885455,,
Service Providing per mil,454056.04879848915,449109.77607864555,457565.22504289675,477807.60626398213,496420.7483684484,504849.16201117315,529630.976186148,537858.3569405099,547113.1534646709,560503.8438263442,544635.4528542932,580541.2517296918,606640.405177265,607965.8035932943,,
"Trade, Transportation & Utilities per mil",124818.19957887425,129612.23375204805,132165.95538739057,131812.08053691275,136801.93302170132,140960.8938547486,152994.91001636066,153926.34560906515,155830.56553983348,161552.7713651747,164354.3940650425,176553.31987387428,180821.6094541362,184785.27061023668,,
Wholesale Trade per mil,18994.073848959124,21845.98580010923,24198.16093976858,22371.36465324385,24659.57590949123,26078.212290502794,28222.141428831124,29280.453257790366,31848.582738068155,29316.179931416274,27455.902458704084,27788.489894063474,29082.723691615083,28942.271300398515,,
Retail Trade per mil,91540.58219549786,91927.90824685965,92766.94971182192,94697.9865771812,94844.52272881242,95709.4972067039,103572.07780403562,101801.69971671388,102757.1773056099,100679.11334244795,97115.44926821615,104530.090964771,104490.71468767586,102967.69597257163,,
"Transportation, Warehousing, and Utilities per mil",14283.543534417262,15838.339705079194,15222.843063927141,14720.357941834453,17320.416412618837,19173.184357541897,21200.69078349391,22844.192634560906,21224.805496155423,31557.478091310488,39783.04233812224,44234.73901503981,47270.68092290377,52875.30333726651,,
Information per mil,4341.5025940478,4369.197160021846,4399.665625412469,4474.272930648769,4516.4058442291625,4469.273743016759,4544.628249409198,4532.577903682719,3799.08094089813,4482.596319788421,2801.6226998677635,2268.448154617426,2431.0635903207653,2226.3285615691166,,
Financial Activities per mil,23704.604163500986,22020.753686510103,23274.231158431958,23489.93288590604,24840.232143260393,24960.893854748603,26131.61243410289,25495.750708215295,26548.06861094681,25954.23269157496,25035.300446018333,24952.929700791687,26268.99268429938,22263.285615691166,,
Professional and Business Services per mil,38704.495625936135,35499.7269251775,40520.920410048835,44362.41610738255,46857.710633877556,47664.804469273746,48672.96855117251,49291.78470254957,48159.60689749306,49689.580204854654,52491.20290472241,51040.08347889209,50084.411930219474,47866.064073736,,
Private Education and Health Services per mil,88827.143074218,85920.26215182961,85969.46632055964,95078.29977628635,95792.96795610053,99061.45251396648,107366.84239229231,105949.00849858357,110719.32299012694,114306.20615460475,113566.57776183967,119842.11600843862,123061.33933595949,124496.29316294499,,
Leisure and Hospitality per mil,55354.15807410945,59158.92954669579,60869.3739275815,64317.67337807606,66616.98620238014,65184.35754189944,60784.40283584803,66288.95184135977,68815.68770189726,73021.4940493534,62577.04462424636,71841.75305673388,78964.54698930783,76986.44165906004,,
Other Services per mil,15564.286799661364,14746.04041507373,14122.926657574024,15659.955257270694,16371.971185330714,16022.346368715083,17042.355935284493,17178.47025495751,17448.473542927342,16809.73619920658,15509.783266467939,17398.99734591566,18187.95723128869,17988.73477747846,,
Government per mil,102741.65888814119,97760.78645548881,96242.68555589775,98612.97539149888,104622.54138156856,106525.13966480446,112093.25577167788,115195.4674220963,115837.8452158879,114687.22684178677,108321.9400676872,116643.60411042806,126797.97411367475,131353.38513257785,,
Federal Government per mil,4515.162697809712,3823.0475150191155,2199.8328127062346,2237.1364653243845,2258.2029221145813,2234.6368715083795,2272.314124704599,2266.2889518413594,2274.8987670048687,2241.2981598942106,2241.2981598942106,2268.448154617426,2431.0635903207653,2226.3285615691166,,
State Government per mil,2713.4391212798746,2184.598580010923,2199.8328127062346,2237.1364653243845,2258.2029221145813,2234.6368715083795,2272.314124704599,2266.2889518413594,2274.8987670048687,2241.2981598942106,2241.2981598942106,2268.448154617426,2250.9848058525604,2226.3285615691166,,
Local Government per mil,95513.0570690516,91753.14036045877,91843.01993048529,94138.70246085011,100106.13553733937,102055.86592178771,107548.62752226868,110662.8895184136,111288.04768187815,110204.63052199835,103839.34374789879,112106.7078011932,122115.9257175014,126900.72800943964,,
