TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,25753.0,25478.0,25182.0,25026.0,25068.0,25030.0,26018.0,26478.0,26422.0,26588.0,26618.0,26540.0,26587.0,27214.0,27085.0,27313.0
  Civilian Employment,21749.0,21658.0,21710.0,22092.0,22628.0,23042.0,24212.0,24833.0,24951.0,25132.0,24288.0,24686.0,25314.0,25702.0,25394.0,25490.0
  Civilian Unemployment,4006.0,3819.0,3472.0,2935.0,2439.0,1986.0,1807.0,1647.0,1472.0,1458.0,2332.0,1854.0,1273.0,1513.0,1688.0,1823.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",16072.0,16051.0,16084.0,16553.0,17114.0,17625.0,18053.0,18764.0,18978.0,19305.0,18982.0,19417.0,19978.0,20268.0,19990.0,19707.0
  Total Farm,1444.0,1449.0,1446.0,1426.0,1472.0,1751.0,1825.0,1982.0,1895.0,1912.0,1936.0,2016.0,2056.0,2059.0,2002.0,1741.0
  Total Nonfarm,14628.0,14602.0,14638.0,15128.0,15642.0,15874.0,16228.0,16782.0,17082.0,17392.0,17046.0,17401.0,17922.0,18209.0,17988.0,17966.0
    Total Private,10472.0,10507.0,10562.0,11187.0,11642.0,11846.0,12163.0,12628.0,12919.0,13242.0,13160.0,13483.0,13691.0,13749.0,13452.0,13366.0
    Goods Producing,2125.0,2130.0,2186.0,2341.0,2475.0,2527.0,2509.0,2588.0,2699.0,2771.0,2833.0,2946.0,2972.0,2991.0,2875.0,2901.0
"     Mining, Logging and Construction",543.0,566.0,572.0,672.0,705.0,692.0,698.0,747.0,827.0,973.0,1079.0,1143.0,1144.0,1150.0,1076.0,1074.0
      Mining and Logging,127.0,147.0,141.0,142.0,147.0,142.0,136.0,138.0,139.0,142.0,128.0,112.0,116.0,108.0,111.0,121.0
      Construction,417.0,419.0,431.0,530.0,558.0,549.0,562.0,609.0,688.0,832.0,951.0,1031.0,1028.0,1042.0,965.0,953.0
      Manufacturing,1582.0,1564.0,1614.0,1669.0,1770.0,1835.0,1811.0,1841.0,1875.0,1800.0,1756.0,1802.0,1829.0,1842.0,1798.0,1829.0
        Durable Goods,1083.0,1042.0,1093.0,1178.0,1296.0,1357.0,1376.0,1389.0,1402.0,1393.0,1386.0,1447.0,1463.0,1488.0,1435.0,1474.0
       Non-Durable Goods,498.0,522.0,521.0,492.0,474.0,478.0,438.0,453.0,472.0,409.0,368.0,358.0,364.0,354.0,364.0,354.0
    Service-Providing,12502.0,12472.0,12452.0,12787.0,13168.0,13348.0,13719.0,14195.0,14384.0,14623.0,14212.0,14458.0,14954.0,15219.0,15113.0,15067.0
    Private Service Providing,8347.0,8377.0,8377.0,8846.0,9167.0,9319.0,9657.0,10042.0,10219.0,10472.0,10325.0,10540.0,10720.0,10761.0,10578.0,10466.0
"      Trade, Transportation & Utilities",3183.0,3138.0,3162.0,3433.0,3575.0,3670.0,3917.0,4016.0,4038.0,4085.0,4127.0,4188.0,4224.0,4190.0,4231.0,4249.0
        Wholesale Trade,289.0,321.0,297.0,316.0,324.0,320.0,299.0,292.0,286.0,288.0,270.0,267.0,245.0,255.0,285.0,283.0
        Retail Trade,1797.0,1739.0,1736.0,1759.0,1808.0,1853.0,2049.0,2045.0,2060.0,2114.0,2144.0,2139.0,2118.0,2107.0,2101.0,2096.0
"        Transportation, Warehousing, and Utilities",1098.0,1078.0,1129.0,1358.0,1443.0,1497.0,1570.0,1678.0,1693.0,1682.0,1714.0,1782.0,1864.0,1832.0,1843.0,1869.0
      Information,69.0,70.0,80.0,71.0,63.0,58.0,78.0,108.0,97.0,88.0,94.0,88.0,74.0,70.0,71.0,70.0
      Financial Activities,360.0,344.0,363.0,345.0,342.0,331.0,355.0,353.0,321.0,313.0,328.0,322.0,312.0,312.0,316.0,307.0
      Professional and Business Services,881.0,959.0,827.0,628.0,663.0,702.0,810.0,878.0,818.0,856.0,836.0,862.0,840.0,778.0,701.0,607.0
      Private Education and Health Services,2379.0,2350.0,2379.0,2768.0,2864.0,2859.0,2831.0,2967.0,3138.0,3339.0,3352.0,3344.0,3490.0,3603.0,3548.0,3514.0
      Leisure and Hospitality,1124.0,1178.0,1229.0,1258.0,1300.0,1358.0,1341.0,1411.0,1482.0,1492.0,1298.0,1422.0,1481.0,1487.0,1356.0,1367.0
      Other Services,350.0,338.0,337.0,342.0,359.0,342.0,325.0,315.0,326.0,303.0,293.0,313.0,302.0,324.0,358.0,347.0
      Government,4156.0,4095.0,4076.0,3941.0,4001.0,4028.0,4064.0,4153.0,4164.0,4152.0,3886.0,3918.0,4233.0,4461.0,4534.0,4601.0
        Federal Government,285.0,262.0,248.0,230.0,225.0,220.0,225.0,212.0,205.0,208.0,232.0,208.0,215.0,219.0,216.0,187.0
        State & Local Government,3871.0,3833.0,3828.0,3711.0,3776.0,3808.0,3838.0,3942.0,3962.0,3941.0,3654.0,3712.0,4021.0,4243.0,4318.0,4413.0
          State Government,343.0,341.0,337.0,331.0,363.0,390.0,363.0,354.0,358.0,360.0,385.0,437.0,465.0,470.0,490.0,506.0
          Local Government,3528.0,3492.0,3492.0,3380.0,3412.0,3418.0,3477.0,3588.0,3602.0,3582.0,3272.0,3276.0,3556.0,3768.0,3828.0,3909.0
