TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,844522.9681978798,850066.7242326714,862123.7391787785,882761.927595301,902664.7518749003,920575.3096284459,930586.5170266739,937872.9511292394,944326.6974490954,945238.453437641,912465.2490795702,930143.1801055011,952119.4568774212,944440.3615785992,937566.9189588332,933255.2264489437
Civilian Unemployment per mil,155554.69265716616,149894.02621869848,137876.2608212215,117278.03084791817,97295.3566299665,79344.7862564922,69451.91790299024,62202.58327668253,55711.149799409584,54836.768466977584,87609.88804568337,69856.81989449887,47880.5431225787,55596.3842140075,62322.31862654606,66744.77355105628
"Total, All Industries per mil",624082.631149769,629994.5050631918,638710.189818124,661432.1106049708,682703.0477102281,704155.0139832201,693865.785225613,708663.7963592416,718265.0821285292,726079.4343312773,713126.4557818018,731612.6601356443,751419.8668522211,744763.7245535387,738046.8894221894,721524.5487496796
Total Farm per mil,56071.13734322215,56872.5959651464,57421.96807243269,56980.74003036842,58720.28083612574,69956.05273671594,70143.74663694366,74854.59626860035,71720.53591703884,71912.14081540545,72732.73724547299,75960.81386586284,77331.02644149396,75659.5869772911,73915.45135683958,63742.54018233076
Total Nonfarm per mil,568011.4938065468,573121.9090980454,581288.2217456914,604491.3290178215,623982.7668741025,634198.9612465042,623722.0385886694,633809.2000906413,646506.6989629854,654129.6825635625,640393.7185363288,655651.8462697815,674088.8404107271,669104.1375762476,664131.4380653498,657782.0085673489
Total Private per mil,406632.2370209296,412395.00745741423,419426.57453736797,447015.1042915368,464416.7863411521,473272.0735117858,467484.0495041894,476924.23899086035,488948.60343653016,498044.23047991574,494402.28416860773,508025.6217030896,514950.9158611352,505217.902550158,496658.66715894407,489364.03910225903
Goods Producing per mil,82514.65848638993,83601.5385823063,86808.03748709396,93542.71557580116,98731.45045476305,100958.84938074311,96433.2385271735,97741.52126293528,102149.72371508591,104219.94884910487,106431.73792170711,111002.26073850792,111783.95456426073,109906.66568677887,106147.31401144544,106213.1585691795
"Mining, Logging and Construction per mil",21084.922144992815,22215.244524687965,22714.63743944087,26852.07384320307,28123.504068932503,27646.82381142629,26827.580905526942,28212.10061182869,31299.674513662856,36595.456596961034,40536.47907431061,43067.06857573474,43028.5477865122,42257.66149775851,39726.78604393576,39321.93460989272
Mining and Logging per mil,4931.4642954218925,5769.68364863804,5599.237550631403,5674.09893710541,5864.049784585926,5673.192169396723,5227.150434314705,5211.874008610922,5260.767542199682,5340.755227922371,4808.776016229619,4220.045214770159,4363.034565765223,3968.545601528625,4098.209340963634,4430.124848973017
Construction per mil,16192.28827709393,16445.560876049924,17115.39988880947,21177.974906097657,22259.45428434658,21933.679584498605,21600.430471212236,23000.226603217765,26038.906971463173,31292.312321347978,35727.703058080995,38847.02336096458,38665.51322074698,38289.11589622988,35628.576702972125,34891.809760919714
Manufacturing per mil,61429.73634139712,61386.29405761833,64093.400047653085,66690.6417325981,70607.94638583054,73312.02556931681,69605.65762164656,69529.42065110659,70963.59094693816,67699.71415676245,65970.39597265009,67897.51318764129,68793.01914469479,67685.7499816271,66383.60716263615,66964.44916340204
Durable Goods per mil,42053.35300741661,40898.02967265876,43404.01874354698,47071.04611204348,51699.377692675924,54214.94206951658,52886.46321777231,52458.644912757765,53061.84240405722,52392.05656687227,52070.027800736345,54521.47701582516,55026.89284236657,54677.739398838836,52981.35499353886,53966.97543294402
Non-Durable Goods per mil,19337.5529064575,20488.264384959573,20689.381304106108,19659.554063773678,18908.568693154622,19097.08349980024,16834.499192866475,17108.542941309766,17863.9012943759,15382.879494508801,13825.231046660156,13489.073097211754,13690.901568435702,13008.01058278827,13439.172973970832,12960.861128400395
Service-Providing per mil,485458.0048926339,489520.370515739,494480.18425859744,510948.61344202026,525291.2079144726,533280.0639232921,527288.800061496,536105.446030667,544394.8224964045,549984.9556190763,533924.4120519949,544762.6224566692,562455.3353142512,559234.2176820753,557984.1240539044,551642.0752022846
Private Service Providing per mil,324117.5785345397,328793.46887510794,332658.2479548884,353472.38871573564,365685.335886389,372313.2241310427,371166.11576600815,379258.2521338469,386761.0324729392,393861.8925831202,387895.409121647,397136.3978899774,403204.5736638207,395421.4742411994,390548.2739523722,383187.49313513713
"Trade, Transportation & Utilities per mil",123597.25080573138,123165.08360153857,125565.88039075531,137177.33557100614,142612.09510132438,146624.05113863363,150549.61949419632,151673.08709117002,152827.189463326,153640.74018354146,155045.45796077844,157799.54785229842,158874.63798096817,153964.87102226794,156211.92541997417,155566.94614286238
