TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,5432.0,5364.0,5316.0,5178.0,5168.0,5143.0,5727.0,5561.0,5476.0,5430.0,5248.0,5307.0,5232.0,5248.0,5418.0,5600.0
  Civilian Employment,4501.0,4468.0,4537.0,4556.0,4673.0,4740.0,5343.0,5232.0,5181.0,5146.0,4850.0,4984.0,4992.0,4957.0,5104.0,5249.0
  Civilian Unemployment,933.0,897.0,782.0,624.0,495.0,400.0,383.0,328.0,296.0,285.0,400.0,323.0,241.0,292.0,312.0,353.0
"Total, All Industries",2769.0,2757.0,2815.0,2858.0,2975.0,3038.0,3009.0,2936.0,2884.0,2924.0,2821.0,2903.0,2946.0,2938.0,3060.0,3139.0
  Total Farm,27.0,29.0,28.0,28.0,32.0,23.0,18.0,10.0,12.0,13.0,28.0,38.0,30.0,29.0,25.0,26.0
  Total Nonfarm,2742.0,2728.0,2788.0,2829.0,2943.0,3015.0,2992.0,2926.0,2872.0,2911.0,2793.0,2865.0,2916.0,2908.0,3035.0,3113.0
    Total Private,1308.0,1282.0,1344.0,1452.0,1586.0,1676.0,1653.0,1625.0,1553.0,1580.0,1517.0,1548.0,1559.0,1531.0,1594.0,1696.0
    Goods Producing,238.0,224.0,248.0,278.0,279.0,312.0,291.0,297.0,289.0,286.0,303.0,305.0,290.0,278.0,325.0,341.0
"     Mining, Logging and Construction",78.0,66.0,72.0,84.0,84.0,98.0,70.0,78.0,88.0,92.0,107.0,112.0,111.0,100.0,145.0,161.0
      Manufacturing,161.0,158.0,176.0,193.0,195.0,214.0,223.0,219.0,201.0,196.0,197.0,193.0,181.0,180.0,182.0,180.0
     Service-Providing,2504.0,2503.0,2539.0,2552.0,2664.0,2702.0,2701.0,2628.0,2584.0,2625.0,2491.0,2559.0,2625.0,2631.0,2711.0,2771.0
    Private Service Providing - Residual,144.0,132.0,172.0,152.0,264.0,299.0,295.0,250.0,238.0,261.0,263.0,258.0,265.0,248.0,282.0,379.0
"      Trade, Transportation, and Utilities",307.0,312.0,332.0,372.0,401.0,423.0,424.0,423.0,363.0,373.0,371.0,392.0,386.0,368.0,364.0,363.0
      Financial Activities,52.0,50.0,50.0,50.0,48.0,48.0,50.0,48.0,42.0,43.0,40.0,45.0,42.0,40.0,47.0,56.0
      Private Education and Health Services,242.0,224.0,186.0,256.0,266.0,271.0,276.0,272.0,278.0,282.0,271.0,238.0,237.0,238.0,248.0,233.0
      Leisure and Hospitality,326.0,341.0,356.0,344.0,328.0,322.0,319.0,338.0,342.0,340.0,270.0,312.0,340.0,363.0,330.0,326.0
      Government,1434.0,1445.0,1443.0,1378.0,1358.0,1339.0,1338.0,1301.0,1321.0,1332.0,1280.0,1318.0,1360.0,1379.0,1442.0,1419.0
        Federal Government,268.0,267.0,262.0,258.0,246.0,238.0,238.0,232.0,215.0,212.0,214.0,204.0,198.0,207.0,209.0,190.0
        Total State and Local Government,1167.0,1178.0,1181.0,1120.0,1112.0,1102.0,1102.0,1072.0,1106.0,1118.0,1065.0,1112.0,1159.0,1171.0,1233.0,1229.0
          State Government,127.0,140.0,134.0,122.0,123.0,118.0,110.0,102.0,108.0,110.0,110.0,104.0,104.0,98.0,99.0,97.0
          Local Government,1040.0,1038.0,1047.0,998.0,988.0,983.0,990.0,968.0,999.0,1009.0,958.0,1008.0,1057.0,1078.0,1137.0,1133.0
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,828608.2474226805,832960.4772557793,853461.2490594432,879876.4001544998,904218.2662538699,921641.0655259576,932949.1880565741,940837.9787807948,946128.5609934259,947697.9742173112,924161.5853658537,939136.9888826079,954128.4403669726,944550.3048780488,942045.0350682909,937321.4285714285
  Civilian Unemployment per mil,171759.941089838,167225.95078299777,147103.08502633558,120509.8493626883,95781.73374613002,77775.61734396267,66876.20045398988,58982.197446502425,54054.05405405406,52486.187845303866,76219.51219512195,60863.011117392125,46062.69113149847,55640.243902439026,57585.825027685496,63035.71428571429
"Total, All Industries per mil",509756.99558173784,513982.1029082774,529533.4838224228,551950.5600617998,575657.8947368421,590705.8137273965,525405.9717129386,527962.5966552778,526661.7969320671,538489.8710865562,537538.1097560977,547013.3785566234,563073.3944954128,559832.3170731707,564784.0531561462,560535.7142857142
  Total Farm per mil,4970.544918998527,5406.4131245339295,5267.11813393529,5407.493240633449,6191.9504643962855,4472.097997277853,3143.0068098480883,1798.237727027513,2191.3805697589482,2394.1068139963168,5335.365853658537,7160.354249104957,5733.94495412844,5525.914634146341,4614.248800295312,4642.857142857143
  Total Nonfarm per mil,504786.4506627393,508575.68978374347,524454.4770504138,546349.9420625723,569465.9442724457,586233.7157301186,522437.5763925266,526164.3589282503,524470.4163623083,536095.7642725599,532202.743902439,539853.0243075184,557339.4495412845,554115.8536585366,560169.8043558508,555892.8571428572
    Total Private per mil,240795.28718703976,239000.7457121551,252821.6704288939,280417.14947856317,306888.54489164083,325879.83667120355,288632.7920377161,292213.63064197084,283601.16873630387,290976.05893186,289062.5,291690.2204635387,297974.0061162079,291730.18292682926,294204.5035068291,302857.1428571429
    Goods Producing per mil,43814.43298969072,41759.880686055185,46651.61775771256,53688.68288914639,53986.068111455104,60664.98152829088,50811.94342587742,53407.66049271714,52775.74872169467,52670.349907918964,57736.28048780488,57471.26436781609,55428.13455657492,52972.560975609755,59985.23440383906,60892.857142857145
"     Mining, Logging and Construction per mil",14359.351988217966,12304.250559284117,13544.018058690745,16222.479721900347,16253.869969040248,19055.026249270853,12222.80426052034,14026.254270814601,16070.124178232285,16942.90976058932,20388.719512195123,21104.201997361975,21215.59633027523,19054.878048780487,26762.64304171281,28750.0
      Manufacturing per mil,29639.175257731957,29455.630126771066,33107.59969902182,37273.078408651985,37732.19814241486,41609.955279020025,38938.36214422909,39381.406221902536,36705.62454346238,36095.76427255985,37538.10975609756,36367.062370454114,34594.80122324159,34298.78048780488,33591.73126614987,32142.85714285714
     Service-Providing per mil,460972.01767304866,466629.38105891127,477614.74793077505,492854.3839320201,515479.8761609907,525374.2951584678,471625.6329666492,472576.87466283044,471877.2826880935,483425.4143646409,474657.01219512196,482193.3295647258,501720.1834862385,501333.84146341466,500369.1399040237,494821.4285714286
    Private Service Providing - Residual per mil,26509.57290132548,24608.501118568234,32355.154251316777,29354.963306295867,51083.59133126935,58137.2739646121,51510.38938362144,44955.943175687826,43462.38130021914,48066.298342541435,50114.329268292684,48615.03674392312,50649.84709480122,47256.09756097561,52048.72646733112,67678.57142857143
"      Trade, Transportation, and Utilities per mil",56516.936671575844,58165.548098434,62452.97215951844,71842.41019698726,77592.87925696594,82247.71534124052,74035.27152086607,76065.4558532638,66289.26223520818,68692.44935543278,70693.59756097561,73864.70699076692,73776.75840978594,70121.95121951221,67183.46253229975,64821.42857142857
      Financial Activities per mil,9572.901325478646,9321.401938851604,9405.568096313018,9656.237929702587,9287.925696594428,9333.07408127552,8730.574471800244,8631.541089732063,7669.831994156319,7918.968692449355,7621.951219512195,8479.366873940078,8027.522935779817,7621.951219512195,8674.787744555186,10000.0
      Private Education and Health Services per mil,44550.81001472754,41759.880686055185,34988.713318284426,49439.938200077246,51470.58823529411,52692.980750534705,48192.77108433735,48912.06617514835,50766.983199415634,51933.701657458565,51638.71951219512,44846.429244394196,45298.16513761468,45350.60975609756,45773.3480989295,41607.142857142855
      Leisure and Hospitality per mil,60014.72754050074,63571.96122296793,66967.64484574868,66434.9169563538,63467.49226006192,62609.371961889956,55701.06513008556,60780.43517352994,62454.34623813003,62615.10128913444,51448.170731707316,58790.27699265121,64984.70948012232,69169.20731707317,60908.08416389812,58214.28571428571
      Government per mil,263991.16347569955,269388.5160328113,271444.6952595937,266125.9173426033,262770.89783281734,260353.87905891504,233630.17286537454,233950.72828627945,241234.4777209642,245303.86740331491,243902.43902439025,248351.23421895612,259938.83792048928,262766.76829268294,266149.87080103357,253392.85714285713
        Federal Government per mil,49337.26067746686,49776.28635346756,49285.17682468021,49826.187717265355,47600.61919504644,46276.49231965779,41557.53448576916,41719.1152670383,39262.235208181155,39042.357274401475,40777.439024390245,38439.79649519502,37844.036697247706,39443.59756097561,38575.119970468804,33928.57142857143
        Total State and Local Government per mil,214837.9970544919,219612.22967934376,222159.51843491348,216299.72962533796,215170.27863777088,214271.82578261715,192421.86135847738,192771.0843373494,201972.24251278306,205893.18600368325,202934.4512195122,209534.57697380817,221521.40672782875,223132.6219512195,227574.75083056476,219464.2857142857
          State Government per mil,23379.970544919,26099.92542878449,25206.922498118885,23561.220548474314,23800.30959752322,22943.807116468986,19207.263837960538,18342.024815680634,19722.42512783053,20257.826887661144,20960.36585365854,19596.758997550405,19877.675840978594,18673.780487804877,18272.42524916944,17321.428571428572
          Local Government per mil,191458.02650957293,193512.3042505593,196952.5959367946,192738.50907686364,191176.47058823527,191133.57962278827,172865.37454164482,174069.41197626328,182432.43243243243,185819.5211786372,182545.73170731709,189937.81797625776,202025.99388379205,205411.58536585365,209856.03543743078,202321.42857142858
