TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,203375.0,202700.0,200775.0,200625.0,198133.0,202167.0,205242.0,206533.0,204800.0,204383.0,204308.0,202967.0,209425.0,217067.0,220975.0,225500.0
  Civilian Employment,168067.0,168008.0,168217.0,171542.0,171800.0,178600.0,182350.0,184983.0,184900.0,184550.0,177100.0,181533.0,192183.0,195825.0,198142.0,201114.0
  Civilian Unemployment,35308.0,34692.0,32575.0,29075.0,26325.0,23583.0,22900.0,21542.0,19900.0,19850.0,27183.0,21442.0,17267.0,21250.0,22842.0,24400.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",146242.0,146117.0,145317.0,149308.0,149900.0,158000.0,161492.0,164817.0,166250.0,167250.0,161283.0,165792.0,175950.0,178392.0,181258.0,181814.0
  Total Farm,37933.0,37125.0,34492.0,35717.0,35375.0,39833.0,39633.0,39642.0,39983.0,38800.0,36592.0,35667.0,37567.0,36133.0,36192.0,36957.0
     Total Nonfarm,108308.0,108992.0,110825.0,113592.0,114525.0,118167.0,121858.0,125175.0,126267.0,128450.0,124692.0,130125.0,138383.0,142258.0,145067.0,144857.0
    Total Private,77267.0,78367.0,80242.0,83642.0,85075.0,87892.0,90533.0,93383.0,94017.0,95742.0,92842.0,98358.0,105142.0,107667.0,108675.0,107757.0
    Goods Producing,14983.0,15092.0,15367.0,15758.0,16525.0,17192.0,18150.0,18467.0,19017.0,19258.0,19275.0,19950.0,21392.0,21125.0,20608.0,20014.0
"      Mining, Logging, and Construction",3933.0,3908.0,4033.0,4175.0,4525.0,4933.0,5333.0,5650.0,6067.0,6383.0,6617.0,7000.0,7583.0,7400.0,7308.0,7086.0
      Manufacturing,11050.0,11183.0,11333.0,11583.0,12000.0,12258.0,12817.0,12817.0,12950.0,12875.0,12658.0,12950.0,13808.0,13725.0,13300.0,12929.0
        Durable Goods,2375.0,2442.0,2517.0,2550.0,2742.0,2917.0,3025.0,3083.0,3250.0,3242.0,3067.0,3083.0,3333.0,3092.0,3017.0,3000.0
        Non-Durable Goods,8675.0,8742.0,8817.0,9033.0,9258.0,9342.0,9792.0,9733.0,9700.0,9633.0,9592.0,9867.0,10475.0,10633.0,10283.0,9929.0
          Food Manufacturing,6383.0,6275.0,6292.0,6383.0,6458.0,6575.0,7042.0,6875.0,6742.0,6583.0,6492.0,6892.0,7400.0,7600.0,7517.0,7143.0
     Service-Providing,93325.0,93900.0,95458.0,97833.0,98000.0,100975.0,103708.0,106708.0,107250.0,109192.0,105417.0,110175.0,116992.0,121133.0,124458.0,124843.0
    Private Service Providing,62283.0,63275.0,64875.0,67883.0,68550.0,70700.0,72383.0,74917.0,75000.0,76483.0,73567.0,78408.0,83750.0,86542.0,88067.0,87743.0
"     Trade, Transportation, and Utilities",23558.0,24000.0,25042.0,25967.0,26050.0,26725.0,27150.0,27642.0,27992.0,27717.0,27067.0,29425.0,30858.0,31133.0,31475.0,30971.0
        Wholesale Trade,3817.0,3542.0,3650.0,3858.0,3833.0,3925.0,4133.0,4175.0,4333.0,4383.0,4317.0,4367.0,4417.0,4300.0,4167.0,4100.0
        Retail Trade,14583.0,14892.0,15267.0,15683.0,15775.0,15933.0,16167.0,16208.0,16292.0,16175.0,15567.0,16608.0,16917.0,16833.0,16958.0,16971.0
"        Transportation, Warehousing, and Utilities",5158.0,5567.0,6125.0,6425.0,6442.0,6867.0,6850.0,7258.0,7367.0,7158.0,7183.0,8450.0,9525.0,10000.0,10350.0,9900.0
