TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,22652.0,22638.0,22256.0,21696.0,21561.0,21539.0,22143.0,21948.0,21737.0,21502.0,20656.0,20561.0,20246.0,20647.0,21418.0,22346.0
  Civilian Employment,19170.0,19361.0,19356.0,19336.0,19672.0,20019.0,20774.0,20769.0,20732.0,20528.0,18506.0,19088.0,19338.0,19644.0,20298.0,21126.0
  Civilian Unemployment,3482.0,3273.0,2901.0,2361.0,1889.0,1523.0,1371.0,1179.0,1004.0,974.0,2150.0,1474.0,907.0,1003.0,1118.0,1220.0
"Total, All Industries",16042.0,16302.0,16318.0,16478.0,16898.0,17364.0,17789.0,17912.0,17986.0,18035.0,16392.0,17018.0,17325.0,17641.0,18370.0,18994.0
  Total Farm,61.0,59.0,50.0,52.0,58.0,63.0,70.0,75.0,62.0,86.0,92.0,92.0,90.0,88.0,102.0,104.0
  Total Nonfarm,15982.0,16242.0,16268.0,16427.0,16841.0,17301.0,17719.0,17838.0,17923.0,17949.0,16301.0,16926.0,17235.0,17552.0,18268.0,18890.0
    Total Private,10667.0,11070.0,11033.0,11198.0,11444.0,11848.0,12152.0,12336.0,12388.0,12268.0,11182.0,11775.0,12060.0,12178.0,12455.0,12793.0
    Goods Producing,1344.0,1492.0,1454.0,1464.0,1447.0,1518.0,1562.0,1595.0,1783.0,1865.0,1753.0,1894.0,1872.0,1910.0,1868.0,1876.0
"     Mining, Logging and Construction",665.0,663.0,626.0,612.0,642.0,714.0,776.0,798.0,964.0,1024.0,924.0,1018.0,1028.0,1111.0,1087.0,1100.0
      Mining and Logging,127.0,158.0,112.0,121.0,132.0,140.0,138.0,135.0,140.0,133.0,127.0,125.0,136.0,152.0,160.0,159.0
      Construction,538.0,505.0,513.0,491.0,510.0,574.0,638.0,663.0,824.0,891.0,798.0,893.0,892.0,959.0,927.0,941.0
      Manufacturing,679.0,829.0,828.0,852.0,805.0,803.0,787.0,797.0,819.0,840.0,831.0,877.0,847.0,801.0,782.0,779.0
        Durable Goods,492.0,634.0,662.0,678.0,644.0,654.0,644.0,648.0,651.0,667.0,674.0,698.0,670.0,641.0,612.0,614.0
       Non-Durable Goods,188.0,195.0,166.0,174.0,161.0,149.0,144.0,151.0,168.0,174.0,156.0,180.0,177.0,162.0,172.0,163.0
    Service-Providing,14638.0,14750.0,14814.0,14962.0,15394.0,15783.0,16158.0,16243.0,16143.0,16085.0,14547.0,15032.0,15362.0,15642.0,16400.0,17016.0
    Private Service Providing,9322.0,9578.0,9579.0,9734.0,9998.0,10331.0,10588.0,10741.0,10607.0,10406.0,9430.0,9881.0,10188.0,10268.0,10587.0,10917.0
"      Trade, Transportation & Utilities",2333.0,2421.0,2482.0,2515.0,2688.0,2905.0,2890.0,2750.0,2733.0,2740.0,2656.0,2797.0,2799.0,2711.0,2658.0,2699.0
        Wholesale Trade,186.0,122.0,138.0,136.0,147.0,177.0,173.0,169.0,167.0,157.0,137.0,133.0,131.0,135.0,145.0,153.0
        Retail Trade,1970.0,2113.0,2140.0,2159.0,2309.0,2493.0,2464.0,2366.0,2369.0,2382.0,2340.0,2475.0,2470.0,2382.0,2322.0,2360.0
"        Transportation, Warehousing, and Utilities",178.0,185.0,205.0,220.0,232.0,235.0,252.0,212.0,200.0,201.0,181.0,187.0,202.0,196.0,190.0,189.0
      Information,237.0,213.0,212.0,208.0,218.0,208.0,208.0,193.0,155.0,132.0,116.0,118.0,125.0,128.0,122.0,124.0
      Financial Activities,521.0,513.0,521.0,546.0,539.0,512.0,491.0,485.0,494.0,496.0,455.0,440.0,447.0,415.0,424.0,429.0
      Professional and Business Services,930.0,926.0,930.0,918.0,896.0,938.0,1028.0,1073.0,1088.0,1108.0,1099.0,1138.0,1112.0,1168.0,1222.0,1309.0
      Private Education and Health Services,2882.0,3021.0,2980.0,2935.0,2996.0,3071.0,3081.0,3098.0,3081.0,3004.0,2743.0,2652.0,2724.0,2780.0,3059.0,3200.0
      Leisure and Hospitality,2042.0,2056.0,1981.0,2132.0,2155.0,2147.0,2319.0,2518.0,2415.0,2470.0,1958.0,2288.0,2539.0,2610.0,2655.0,2699.0
      Other Services,378.0,428.0,472.0,479.0,506.0,550.0,575.0,628.0,645.0,455.0,407.0,452.0,448.0,462.0,452.0,463.0
      Government,5315.0,5172.0,5235.0,5228.0,5397.0,5452.0,5570.0,5502.0,5536.0,5682.0,5118.0,5151.0,5176.0,5377.0,5812.0,6100.0
        Federal Government,441.0,418.0,482.0,481.0,518.0,493.0,488.0,454.0,434.0,432.0,421.0,386.0,358.0,349.0,368.0,323.0
        State & Local Government,4874.0,4754.0,4753.0,4748.0,4879.0,4959.0,5082.0,5050.0,5100.0,5250.0,4698.0,4767.0,4818.0,5028.0,5445.0,5777.0
          State Government,1262.0,1188.0,1125.0,1079.0,1142.0,1192.0,1188.0,1201.0,1195.0,1234.0,1258.0,1297.0,1302.0,1360.0,1391.0,1386.0
          Local Government,3612.0,3566.0,3628.0,3668.0,3737.0,3768.0,3892.0,3848.0,3905.0,4017.0,3439.0,3472.0,3515.0,3668.0,4053.0,4389.0
Civilian Labor Force per mil,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
  Civilian Employment per mil,846282.8889281299,855243.3960597225,869698.0589503954,891224.1887905605,912388.1081582487,929430.3356701797,938174.5924219844,946282.1213778021,953765.4690159636,954701.8881964468,895914.0201394268,928359.5155877632,955151.6348908426,951421.5140214075,947707.5357176206,945404.0991676362
  Civilian Unemployment per mil,153717.11107187002,144579.90988603234,130346.8727534148,108821.90265486726,87611.8918417513,70708.94656205023,61915.72957593822,53717.878622197924,46188.526475594605,45298.111803553154,104085.9798605732,71689.12017897962,44798.972636570186,48578.48597859253,52199.08488187506,54595.90083236374
"Total, All Industries per mil",708193.5369945259,720116.6180758018,733195.542774982,759494.8377581121,783729.8826585037,806165.5601467106,803369.0105225127,816110.8073628576,827437.0888347058,838759.1851920752,793570.8752904725,827683.4784300374,855724.5875728539,854409.8416234804,857689.7936315249,849995.5249261613
  Total Farm per mil,2692.9189475543,2606.237300114851,2246.585190510424,2396.755162241888,2690.0422058346085,2924.9268768280795,3161.2699272907917,3417.1678512848553,2852.2795233932925,3999.627941586829,4453.9116963594115,4474.490540343369,4445.322532845995,4262.120404901439,4762.349425716687,4654.076792267072
  Total Nonfarm per mil,705544.7642592265,717466.2072621256,730948.9575844717,757144.174041298,781086.2204907008,803240.6332698825,800207.740595222,812739.2017495899,824538.8048028707,834759.5572504883,789165.3756777691,823208.987889694,851279.265040008,850099.2880321597,852927.4442058082,845341.4481338942
    Total Private per mil,470907.6461239626,489000.7951232441,495731.4881380302,516132.005899705,530773.1552339873,550071.9624866521,548796.4593776814,562055.768179333,569903.8505773566,570551.5765975259,541343.9194422928,572686.1533972083,595673.2194013632,589819.3442146559,581520.2166402092,572496.1961872372
    Goods Producing per mil,59332.50927070458,65906.88223341285,65330.69734004314,67477.87610619469,67111.91503177033,70476.80950833372,70541.48037754596,72671.76963732459,82026.03855177808,86736.11757045856,84866.38264910922,92116.14221098195,92462.70868319669,92507.38606092895,87216.36007096835,83952.38521435604
"     Mining, Logging and Construction per mil",29357.231149567368,29287.039491121122,28127.246585190507,28207.96460176991,29775.98441630722,33149.17127071823,35044.935193966485,36358.665937670856,44348.346137921515,47623.47688587108,44732.76529821844,49511.21054423423,50775.46181961869,53809.270111880665,50751.704174059196,49225.812225901725
      Mining and Logging per mil,5606.568956383542,6979.415142680449,5032.350826743351,5577.0648967551615,6122.165020175317,6499.837504062398,6232.217856658989,6150.90213231274,6440.6311818558215,6185.471118965677,6148.334624322231,6079.470842857837,6717.376271856169,7361.844335738849,7470.352040339901,7115.367403562159
      Construction per mil,23750.662193183824,22307.624348440673,23049.964054636952,22630.89970501475,23653.819396131905,26649.333766655833,28812.717337307502,30207.763805358118,37907.71495606569,41438.00576690541,38632.84275755229,43431.73970137639,44058.08554776252,46447.42577614181,43281.3521337193,42110.44482233957
      Manufacturing per mil,29975.278121137206,36619.84274229172,37203.45075485262,39269.911504424774,37335.930615463105,37281.210826872186,35541.70618254076,36313.10369965373,37677.69241385656,39066.133382941116,40230.44151820295,42653.567433490585,41835.424281339525,38794.98232188696,36511.345597161264,34860.82520361586
        Durable Goods per mil,21719.936429454352,28006.00759784433,29744.787922358013,31250.0,29868.744492370482,30363.52662612006,29083.683331075285,29524.330235101148,29948.93499562957,31020.370198121105,32629.744384198293,33947.76518651817,33092.95663340907,31045.67249479343,28574.09655430012,27476.953369730603
       Non-Durable Goods per mil,8299.487903937843,8613.83514444739,7458.662832494609,8019.911504424779,7467.186123092621,6917.6842007521245,6503.183850426772,6879.897940586841,7728.757418226986,8092.270486466375,7552.285050348567,8754.438013715286,8742.467647930456,7846.176199932194,8030.628443365393,7294.370357110893
    Service-Providing per mil,646212.2549885219,651559.3250287129,665618.2602444285,689620.2064896754,713974.3054589304,732763.8237615488,729711.4212166374,740067.4321122654,742650.7797764181,748069.9469816762,704250.5809450039,731092.8456787121,758767.163884224,757591.9019712307,765711.0841348399,761478.5643963126
    Private Service Providing per mil,411530.990641003,423093.9128898313,430400.790797987,448654.1297935103,463707.62024024857,479641.5803890617,478164.6570022129,489383.9985420084,487969.8210424622,483954.9809320063,456525.94887683965,480570.01118622633,503210.5107181666,497311.95815372694,494303.8565692408,488543.8109728811
"      Trade, Transportation & Utilities per mil",102993.11319088822,106944.07633183144,111520.48885693745,115919.98525073746,124669.54222902462,134871.62820929478,130515.28699814841,125296.15454711135,125730.32157151401,127430.00651102223,128582.49419054996,136034.23957978698,138249.5307715104,131302.36838281588,124101.22327014661,120782.24290700797
        Wholesale Trade per mil,8211.195479427864,5389.168654474777,6200.57512580877,6268.436578171091,6817.865590649784,8217.651701564604,7812.852820304385,7700.018224895207,7682.752909785158,7301.646358478281,6632.455460883037,6468.55697680074,6470.413908920281,6538.480166610161,6770.006536558035,6846.862973239058
        Retail Trade per mil,86968.03814232738,93338.63415496069,96153.84615384616,99511.43067846607,107091.5078150364,115743.53498305399,111276.70144063586,107800.25514853289,108984.68049868887,110780.3925216259,113284.2757552285,120373.52268858519,121999.40729032896,115367.85005085485,108413.48398543282,105611.74259375279
"        Transportation, Warehousing, and Utilities per mil",7858.025781387957,8172.100008834702,9210.999281092738,10140.117994100296,10760.168823338434,10910.44152467617,11380.57173824685,9659.194459631857,9200.901688365459,9347.967630918054,8762.58714175058,9094.888380915327,9977.279462609898,9492.904538189567,8871.043047903633,8457.88955517766
      Information per mil,10462.652304432278,9408.958388550225,9525.521207764199,9587.020648967551,10110.848290895598,9656.901434606993,9393.48778394978,8793.511937306359,7130.698808483231,6138.963817319319,5615.8017041053445,5739.020475657799,6174.059073397215,6199.447861674819,5696.143430759174,5549.09156001074
      Financial Activities per mil,23000.17658484902,22661.012456930825,23409.41768511862,25165.929203539825,24998.84049904921,23770.83430057106,22174.05048999684,22097.68543830873,22726.227170262686,23067.621616593802,22027.498063516654,21399.73736685959,22078.43524646844,20099.77236402383,19796.432906900736,19198.06676810167
      Professional and Business Services per mil,41055.97739713933,40904.673557734786,41786.48454349389,42311.94690265487,41556.51407634154,43548.91127721807,46425.50693221334,48888.28139238199,50052.90518470811,51530.09022416519,53204.87993803253,55347.50255337775,54924.42951694162,56569.96173778272,57054.81370809599,58578.71654882305
      Private Education and Health Services per mil,127229.38371887692,133448.18446859263,133896.47735442128,135278.39233038347,138954.59394276704,142578.57839268303,139141.03779975613,141151.8133770731,141739.8905092699,139707.93414566087,132794.34546862898,128982.05340207189,134545.09532747208,134644.25824574998,142823.79307124848,143202.36283898685
      Leisure and Hospitality per mil,90146.56542468656,90820.74388196837,89009.705248023,98266.96165191742,99948.98195816521,99679.65086587121,104728.3565912478,114725.71532713686,111100.88788701293,114873.03506650544,94790.85979860573,111278.63430766987,125407.4878988442,126410.61655446312,123961.15416939023,120782.24290700797
      Other Services per mil,16687.26823238566,18906.263804222985,21207.764198418405,22077.802359882007,23468.29924400538,25535.075908816565,25967.574402745788,28613.08547475852,29672.907944978608,21160.822249093108,19703.718048024788,21983.36656777394,22127.827719055615,22376.132125732554,21103.74451396022,20719.59187326591
      Government per mil,234637.118135264,228465.4121388815,235217.4694464414,240966.07669616517,250313.06525671348,253122.2433724871,251546.7642144244,250683.43357025695,254680.95873395592,264254.48795460886,247773.0441518203,250522.83449248574,255655.43811123187,260425.24337676176,271360.53786534694,272979.50416181865
        Federal Government per mil,19468.479604449938,18464.5286686103,21657.081236520487,22169.985250737464,24024.859700384954,22888.713496448305,22038.567493112947,20685.256059777657,19965.956663753048,20091.154311226863,20381.487219209914,18773.405962745,17682.505186209622,16903.18206034775,17181.80969278177,14454.488499060233
        State & Local Government per mil,215168.63853081406,210000.88347027125,213560.38820992093,218842.18289085547,226288.20555632855,230233.5298760388,229508.19672131148,230089.3019865136,234622.99305331922,244163.33364338204,227439.96901626646,231846.70006322648,237972.93292502224,243522.061316414,254225.41787281728,258525.01566275844
          State Government per mil,55712.51986579551,52478.13411078717,50548.166786484544,49732.669616519175,52966.003432122816,55341.473606016996,53651.26676602087,54720.24785857482,54975.38758798362,57390.010231606364,60902.40123934934,63080.58946549293,64308.99930850538,65869.13353029496,64945.37305070501,62024.52340463618
          Local Government per mil,159456.11866501856,157522.74935948403,163012.2214234364,169063.42182890855,173322.20212420574,174938.48368076512,175766.60795736802,175323.49188992163,179647.6054653356,186819.830713422,166489.15569326104,168863.3821312193,173614.54114392964,177652.92778611905,189233.35512186014,196410.99078134788
