TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,430450.0,430050.0,433467.0,432750.0,429650.0,427417.0,425308.0,423867.0,422467.0,421625.0,410425.0,407500.0,412392.0,416950.0,420800.0,425971.0
  Civilian Employment,383342.0,385950.0,393875.0,398325.0,400717.0,403208.0,402992.0,404642.0,406283.0,406250.0,374717.0,382183.0,397008.0,399592.0,401442.0,405857.0
  Civilian Unemployment,47092.0,44100.0,39583.0,34408.0,28933.0,24217.0,22342.0,19217.0,16192.0,15375.0,35717.0,25308.0,15375.0,17367.0,19375.0,20114.0
"Total, All Industries",300533.0,303250.0,309958.0,316667.0,319825.0,322275.0,325175.0,328675.0,332825.0,336775.0,315308.0,323075.0,336275.0,338108.0,340967.0,341171.0
  Total Farm,24433.0,25242.0,27092.0,27442.0,26458.0,26333.0,25225.0,23808.0,24308.0,24683.0,24983.0,23525.0,24658.0,24117.0,24617.0,25200.0
  Total Nonfarm,276100.0,278008.0,282867.0,289225.0,293367.0,295942.0,299950.0,304867.0,308517.0,312092.0,290325.0,299550.0,311617.0,313992.0,316350.0,315971.0
    Total Private,231892.0,233608.0,239242.0,245608.0,249367.0,250542.0,253367.0,257958.0,261650.0,264967.0,245592.0,255075.0,265475.0,267017.0,268708.0,267814.0
    Goods Producing,38100.0,37292.0,37242.0,38025.0,40000.0,41050.0,41208.0,42208.0,43892.0,44617.0,43483.0,44500.0,46017.0,46075.0,46400.0,45643.0
"      Mining, Logging and Construction",12508.0,12567.0,13050.0,13817.0,15008.0,15175.0,15517.0,16600.0,17683.0,18033.0,17683.0,18033.0,18742.0,18950.0,18942.0,18643.0
      Mining and Logging,1200.0,1267.0,1267.0,1217.0,1300.0,1025.0,900.0,900.0,858.0,942.0,925.0,892.0,975.0,1000.0,1000.0,1000.0
      Construction,11308.0,11300.0,11783.0,12600.0,13708.0,14150.0,14617.0,15700.0,16825.0,17092.0,16758.0,17142.0,17767.0,17950.0,17942.0,17643.0
        Specialty Trade Contractors,7875.0,7867.0,8025.0,8508.0,9075.0,9533.0,10008.0,10767.0,11342.0,11033.0,10925.0,11242.0,11658.0,11800.0,11550.0,11214.0
      Manufacturing,25592.0,24725.0,24192.0,24208.0,24992.0,25875.0,25692.0,25608.0,26208.0,26583.0,25800.0,26467.0,27275.0,27125.0,27458.0,27000.0
        Durable Goods,19533.0,18817.0,18233.0,18183.0,18658.0,18842.0,18625.0,18617.0,19475.0,19417.0,18442.0,18317.0,18908.0,19058.0,19175.0,18943.0
          Computer and Electronic Product Manufacturing,7008.0,6150.0,5392.0,5217.0,5375.0,5558.0,5475.0,5325.0,5450.0,5417.0,5308.0,5100.0,5000.0,4867.0,4975.0,4886.0
        Non-Durable Goods,6058.0,5908.0,5958.0,6025.0,6333.0,7033.0,7067.0,6992.0,6733.0,7167.0,7358.0,8150.0,8367.0,8067.0,8283.0,8057.0
          Chemical Manufacturing,1783.0,1750.0,1875.0,1942.0,2017.0,2583.0,2567.0,2542.0,2333.0,2708.0,2983.0,3325.0,3192.0,2767.0,2617.0,2500.0
Service-Providing,238000.0,240717.0,245625.0,251200.0,253367.0,254892.0,258742.0,262658.0,264625.0,267475.0,246842.0,255050.0,265600.0,267917.0,269950.0,270329.0
    Private Service Providing,193792.0,196317.0,202000.0,207583.0,209367.0,209492.0,212158.0,215750.0,217758.0,220350.0,202108.0,210575.0,219458.0,220942.0,222308.0,222171.0
"      Trade, Transportation, and Utilities",52883.0,54017.0,55317.0,56617.0,57250.0,57692.0,58242.0,58633.0,58075.0,57133.0,53008.0,55667.0,57300.0,56500.0,55100.0,54943.0
        Wholesale Trade,12308.0,12442.0,12475.0,12517.0,12342.0,12083.0,12475.0,12667.0,12533.0,12467.0,12008.0,12325.0,12458.0,11633.0,10900.0,10900.0
        Retail Trade,35275.0,36075.0,37100.0,38233.0,38925.0,39625.0,39725.0,39825.0,39217.0,38333.0,34875.0,36358.0,36533.0,36442.0,35725.0,35557.0
          Food and Beverage Retailers,7592.0,7575.0,7700.0,8183.0,8783.0,8950.0,8833.0,8975.0,8708.0,8608.0,8800.0,8808.0,8825.0,8992.0,8892.0,8671.0
          General Merchandise Retailers,6192.0,6492.0,6392.0,6483.0,6358.0,6433.0,6458.0,6333.0,6267.0,6092.0,5267.0,5675.0,5758.0,5775.0,5575.0,5457.0
"          Clothing, Clothing Accessories, Shoe, and Jewelry ",4925.0,5258.0,5383.0,5567.0,5600.0,5375.0,5275.0,5142.0,4858.0,4475.0,3058.0,3383.0,3400.0,3467.0,3408.0,3343.0
"        Transportation, Warehousing, and Utilities",5300.0,5500.0,5742.0,5867.0,5983.0,5983.0,6042.0,6142.0,6325.0,6333.0,6125.0,6983.0,8308.0,8425.0,8475.0,8486.0
           Transportation and Warehousing,4183.0,4317.0,4575.0,4733.0,4850.0,4933.0,5042.0,5192.0,5383.0,5400.0,5267.0,6150.0,7475.0,7517.0,7542.0,7657.0
      Information,5375.0,5092.0,5375.0,5475.0,5617.0,5317.0,5267.0,5300.0,5367.0,5242.0,3975.0,3917.0,4008.0,3792.0,3583.0,3500.0
      Financial Activities,20333.0,20392.0,19600.0,18917.0,18725.0,17742.0,17408.0,16917.0,16442.0,15850.0,15700.0,16100.0,16058.0,15292.0,15017.0,14657.0
        Finance and Insurance,16008.0,16183.0,15417.0,14533.0,14233.0,13483.0,13150.0,12700.0,12325.0,11617.0,11592.0,11742.0,11317.0,10708.0,10283.0,10157.0
          Credit Intermediation and Related Activities incl,8900.0,9708.0,9558.0,9367.0,8808.0,7983.0,7892.0,7625.0,7442.0,7058.0,7117.0,7125.0,6283.0,5458.0,5408.0,5386.0
          Insurance Carriers and Related Activities,6275.0,5583.0,4967.0,4300.0,4592.0,4833.0,4742.0,4658.0,4608.0,4392.0,4400.0,4217.0,4033.0,3933.0,3717.0,3600.0
