TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,102275.0,101408.0,102308.0,101550.0,102133.0,104200.0,105100.0,105350.0,105833.0,105692.0,102567.0,102092.0,107717.0,109283.0,110992.0,112729.0
Civilian Employment,89825.0,89467.0,91392.0,92325.0,94367.0,97433.0,98875.0,99925.0,101267.0,101258.0,94542.0,95933.0,103192.0,104067.0,105025.0,106243.0
Civilian Unemployment,12467.0,11933.0,10933.0,9225.0,7783.0,6758.0,6225.0,5433.0,4567.0,4442.0,8042.0,6150.0,4542.0,5208.0,5975.0,6486.0
"Total, All Industries",95975.0,95417.0,96858.0,98883.0,101667.0,104675.0,107933.0,109042.0,111517.0,114658.0,108067.0,113375.0,115208.0,116250.0,,
Total Farm,4850.0,5092.0,5300.0,5350.0,5717.0,5833.0,6392.0,5908.0,5800.0,5600.0,5258.0,5308.0,4942.0,4983.0,,
Total Nonfarm,91125.0,90325.0,91558.0,93533.0,95950.0,98842.0,101542.0,103133.0,105717.0,109058.0,102808.0,108067.0,110267.0,111267.0,,
Goods Producing,8875.0,8150.0,8208.0,8675.0,9283.0,10050.0,9533.0,9992.0,10583.0,11308.0,11217.0,12083.0,13100.0,12417.0,,
Mining and Logging,175.0,200.0,108.0,158.0,167.0,125.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Construction,3492.0,3250.0,3075.0,3017.0,2950.0,3450.0,3600.0,3633.0,3808.0,4383.0,4617.0,5142.0,5517.0,5333.0,,
Manufacturing,5208.0,4700.0,5025.0,5500.0,6167.0,6475.0,5833.0,6258.0,6675.0,6825.0,6500.0,6842.0,7483.0,6983.0,,
Durable Goods,2467.0,2433.0,2633.0,2992.0,3642.0,3792.0,3450.0,3575.0,4000.0,3917.0,3250.0,3183.0,3483.0,3150.0,,
Nondurable Goods,2742.0,2267.0,2392.0,2508.0,2525.0,2683.0,2383.0,2683.0,2675.0,2908.0,3250.0,3658.0,4000.0,3833.0,,
Service Providing,82250.0,82175.0,83350.0,84858.0,86667.0,88792.0,92008.0,93142.0,95133.0,97750.0,91592.0,95983.0,97167.0,98850.0,,
"Trade, Transportation & Utilities",18283.0,18425.0,18183.0,18808.0,19208.0,19542.0,20092.0,20367.0,20967.0,21775.0,21975.0,23017.0,23700.0,22917.0,,
Wholesale Trade,4217.0,4283.0,4300.0,4567.0,4483.0,4517.0,4783.0,4933.0,5017.0,5258.0,4725.0,4767.0,5208.0,4950.0,,
Retail Trade,7692.0,7775.0,7592.0,7842.0,8117.0,8125.0,8242.0,8167.0,8275.0,8242.0,8017.0,8342.0,8275.0,8208.0,,
"Transportation, Warehousing, and Utilities",6375.0,6367.0,6292.0,6400.0,6608.0,6900.0,7067.0,7267.0,7675.0,8275.0,9233.0,9908.0,10217.0,9758.0,,
Information,1000.0,1000.0,1000.0,1058.0,1000.0,1042.0,1000.0,1000.0,917.0,867.0,733.0,767.0,775.0,700.0,,
Financial Activities,3092.0,2867.0,2900.0,2800.0,2467.0,2458.0,2467.0,2467.0,2483.0,2542.0,2517.0,2417.0,2383.0,2392.0,,
Finance & Insurance,1600.0,1558.0,1600.0,1475.0,1167.0,1100.0,1100.0,1092.0,1025.0,1042.0,1008.0,958.0,883.0,800.0,,
Real Estate & Rental & Leasing,1492.0,1308.0,1300.0,1325.0,1300.0,1358.0,1367.0,1375.0,1458.0,1500.0,1508.0,1458.0,1500.0,1592.0,,
Professional and Business Services,6867.0,7225.0,7708.0,7783.0,7983.0,8275.0,8942.0,9067.0,9142.0,9275.0,8983.0,9450.0,9525.0,9150.0,,
"Professional, Scientific & Technical Services",3500.0,3892.0,4342.0,4150.0,4208.0,4033.0,3975.0,3850.0,4208.0,4150.0,4092.0,4425.0,4308.0,4225.0,,
Management of Companies & Enterprises,1050.0,1008.0,900.0,1000.0,1025.0,1133.0,1175.0,1300.0,1100.0,1092.0,1100.0,1100.0,1175.0,1100.0,,
Administrative and Support and Waste and Remediatio,2317.0,2325.0,2467.0,2633.0,2750.0,3108.0,3792.0,3917.0,3833.0,4033.0,3792.0,3925.0,4042.0,3825.0,,
Private Education and Health Services,8475.0,8350.0,8625.0,8958.0,9283.0,9600.0,9850.0,9925.0,10375.0,11183.0,10675.0,10783.0,11058.0,11683.0,,
Leisure and Hospitality,6417.0,6317.0,6667.0,6758.0,7067.0,7450.0,7892.0,7883.0,7808.0,8125.0,6350.0,6950.0,7942.0,8342.0,,
"Arts, Entertainment, and Recreation",875.0,933.0,1050.0,975.0,958.0,1050.0,1158.0,1100.0,1108.0,1233.0,692.0,867.0,1142.0,1275.0,,
Accommodation & Food Services,5542.0,5383.0,5617.0,5783.0,6108.0,6400.0,6733.0,6783.0,6700.0,6892.0,5658.0,6083.0,6800.0,7067.0,,
Other Services,1942.0,1983.0,2142.0,2200.0,2333.0,2267.0,2342.0,2233.0,2308.0,2333.0,2092.0,2292.0,2567.0,2642.0,,
Government,36175.0,36008.0,36125.0,36492.0,37325.0,38158.0,39425.0,40200.0,41133.0,41650.0,38267.0,40308.0,39217.0,41025.0,,
Federal Government,2258.0,2325.0,2308.0,2308.0,2325.0,2350.0,2433.0,2408.0,2375.0,2317.0,2358.0,2442.0,2558.0,2533.0,,
State Government,24217.0,24308.0,24550.0,24983.0,25533.0,25967.0,27100.0,27625.0,28233.0,28158.0,25450.0,27442.0,26042.0,27367.0,,
Local Government,9700.0,9375.0,9267.0,9200.0,9467.0,9842.0,9892.0,10167.0,10525.0,11175.0,10458.0,10425.0,10617.0,11125.0,,
