TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,878269.371791738,882247.9488797728,893302.5765336044,909158.0502215658,923961.892826021,935057.5815738965,940770.6945765937,948504.9833887044,956856.5570285261,958047.9128032397,921758.4603234958,939672.060494456,957991.7747430768,952270.70999149,946239.3686031426,942463.7848291034
Civilian Unemployment per mil,121896.84673673919,117673.16188071946,106863.58838018532,90841.94977843427,76204.55680338382,64856.04606525912,59229.30542340628,51570.95396298054,43152.89182013172,42027.77882905045,78407.28499419891,60239.7837244838,42166.04621368958,47656.085575981626,53832.708663687474,57536.215170896576
"Total, All Industries per mil",938401.3688584698,940921.8207636478,946729.4835203503,973737.0753323486,995437.3219233744,1004558.5412667945,1026955.2806850619,1035045.087802563,1053707.2557708845,1084831.396889074,1053623.4851365448,1110517.9641891627,1069543.3404198037,1063751.9101781615,,
Total Farm per mil,47421.16841847959,50213.00094667087,51804.35547562263,52683.40718857706,55976.03125336571,55978.886756238004,60818.268315889625,56079.7342192691,54803.32221518808,52984.14260303524,51264.05179053692,51992.320651960974,45879.480490544665,45597.210911120674,,
Total Nonfarm per mil,890980.2004399903,890708.8198169769,894925.1280447277,921053.6681437716,939461.2906700087,948579.6545105566,966146.5271170314,978955.8614143332,998903.9335556963,1031847.2542860386,1002349.6836214376,1058525.6435372017,1023673.1435149513,1018154.6992670407,,
Goods Producing per mil,86775.84942556832,80368.41274850111,80228.33014036047,85425.89857213195,90891.28880968933,96449.13627639155,90704.09134157945,94845.75225439013,99997.16534540267,106990.12224198614,109362.66050484074,118354.03361673784,121614.97256700428,113622.4298381267,,
Mining and Logging per mil,1711.0730872647273,1972.2309876932784,1055.63592289948,1555.8838010832103,1635.1228300353462,1199.6161228406909,951.4747859181732,949.21689606075,944.8848657791048,946.1454036256291,974.9724570280889,979.5086784468912,928.3585692137731,915.0554066048699,,
Construction per mil,34143.2412613053,32048.753550015776,30056.30058255464,29709.5027080256,28883.906279067487,33109.404990403076,34253.09229305423,34485.049833887046,35981.21568886832,41469.55304091133,45014.47834098687,50366.336245739134,51217.54226352386,48799.904834237714,,
Manufacturing per mil,50921.53507699828,46347.428210792044,49116.39363490636,54160.51206302315,60382.05085525736,62140.11516314779,55499.52426260704,59401.993355481725,63071.06479075525,64574.4237974492,63373.20970682578,67017.98377933628,69469.07173426665,63898.31904321806,,
Durable Goods per mil,24121.24175018333,23992.189965288733,25736.01282402158,29463.31856228459,35659.385311309765,36391.5547024952,32825.88011417697,33934.504034171805,37795.39463116419,37060.51546001589,31686.60485341289,31177.761234964542,32334.728965715716,28824.245308053403,,
