TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Labor Force,29108.0,28850.0,28758.0,28192.0,27892.0,27750.0,29642.0,30150.0,30600.0,31250.0,32142.0,32717.0,33558.0,34750.0,35558.0,36343.0
  Civilian Employment,23892.0,23942.0,24333.0,24442.0,24717.0,25158.0,27183.0,28008.0,28717.0,29400.0,28850.0,30083.0,31767.0,32592.0,33142.0,33743.0
  Civilian Unemployment,5217.0,4900.0,4442.0,3733.0,3175.0,2583.0,2442.0,2150.0,1875.0,1833.0,3242.0,2617.0,1783.0,2150.0,2408.0,2557.0
Civilian Unemployment Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total, All Industries",15233.0,15633.0,16000.0,15808.0,16025.0,16375.0,16625.0,17742.0,18158.0,18875.0,19242.0,19642.0,20583.0,20792.0,,
  Total Farm,908.0,958.0,942.0,883.0,767.0,775.0,508.0,775.0,750.0,708.0,742.0,850.0,825.0,592.0,,
  Total Nonfarm,14325.0,14675.0,15058.0,14925.0,15258.0,15600.0,16117.0,16967.0,17408.0,18167.0,18500.0,18792.0,19758.0,20200.0,,
    Goods Producing,1183.0,1192.0,1292.0,1233.0,1342.0,1458.0,1467.0,1683.0,1842.0,2075.0,1858.0,1825.0,1875.0,2183.0,,
"     Mining, Logging and Construction",692.0,683.0,700.0,608.0,708.0,750.0,767.0,975.0,1142.0,1317.0,1167.0,1142.0,1183.0,1475.0,,
      Manufacturing,492.0,508.0,592.0,625.0,633.0,708.0,700.0,708.0,700.0,758.0,692.0,683.0,692.0,708.0,,
    Service Providing,13142.0,13483.0,13767.0,13692.0,13917.0,14142.0,14650.0,15283.0,15567.0,16092.0,16642.0,16967.0,17883.0,18017.0,,
"      Trade, Transportation & Utilities",2008.0,1925.0,2092.0,2142.0,2242.0,2250.0,2242.0,2433.0,2300.0,2217.0,2325.0,2508.0,2458.0,2300.0,,
        Wholesale Trade,200.0,175.0,175.0,200.0,233.0,200.0,200.0,283.0,200.0,292.0,300.0,342.0,217.0,142.0,,
        Retail Trade,1242.0,1200.0,1275.0,1250.0,1333.0,1442.0,1450.0,1542.0,1525.0,1342.0,1425.0,1500.0,1508.0,1517.0,,
"        Transportation, Warehousing, and Utilities",567.0,550.0,642.0,692.0,675.0,608.0,592.0,608.0,575.0,583.0,600.0,667.0,733.0,642.0,,
      Information,200.0,200.0,200.0,200.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,100.0,,
      Financial Activities,292.0,300.0,292.0,308.0,283.0,233.0,233.0,275.0,275.0,292.0,292.0,283.0,200.0,208.0,,
      Professional and Business Services,792.0,883.0,892.0,908.0,892.0,925.0,1025.0,933.0,1058.0,992.0,1067.0,1075.0,1308.0,1317.0,,
      Private Education and Health Services,2650.0,2667.0,2758.0,2775.0,2808.0,3017.0,3133.0,3500.0,3517.0,3725.0,3675.0,3633.0,3742.0,4050.0,,
      Leisure and Hospitality,1142.0,1217.0,1258.0,1400.0,1367.0,1367.0,1542.0,1517.0,1533.0,1458.0,1317.0,1542.0,1892.0,1817.0,,
      Other Services,317.0,325.0,358.0,300.0,350.0,383.0,400.0,425.0,375.0,408.0,383.0,383.0,325.0,200.0,,
      Government,5742.0,5967.0,5917.0,5658.0,5775.0,5867.0,5975.0,6100.0,6408.0,6900.0,7483.0,7442.0,7867.0,8025.0,,
        Federal Government,1383.0,1383.0,1375.0,1342.0,1400.0,1458.0,1517.0,1525.0,1508.0,1517.0,1525.0,1508.0,1450.0,1458.0,,
          State Government,775.0,758.0,800.0,800.0,800.0,783.0,758.0,783.0,942.0,1050.0,1000.0,1092.0,1100.0,1108.0,,
          Local Government,3583.0,3825.0,3742.0,3517.0,3575.0,3625.0,3700.0,3792.0,3958.0,4333.0,4958.0,4842.0,5317.0,5458.0,,
