TITLE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Civilian Employment per mil,820805.2768998214,829878.6828422877,846129.7725850198,866983.541430193,886168.0768679191,906594.5945945946,917043.3843870184,928955.223880597,938464.0522875817,940800.0,897579.4910086491,919491.395910383,946629.7157160736,937899.2805755396,932054.6712413521,928459.4007099029
Civilian Unemployment per mil,179229.07791672394,169844.02079722704,154461.3672717157,132413.4506242906,113831.92313208089,93081.08108108108,82383.1050536401,71310.11608623549,61274.509803921566,58656.0,100864.91195320764,79988.99654613809,53131.89105429406,61870.503597122304,67720.34422633443,70357.42784029937
"Total, All Industries per mil",523326.9204342449,541871.7504332755,556366.923986369,560726.4472190692,574537.5017926288,590090.0900900901,560859.5911207071,588457.711442786,593398.6928104575,604000.0,598655.9641590442,600360.6687654735,613355.9806901484,598330.9352517986,,
Total Farm per mil,31194.17342311392,33206.23916811092,32756.102649697477,31320.942111237233,27498.924422773558,27927.92792792793,17137.844949733484,25704.80928689884,24509.803921568626,22656.0,23085.060046045674,25980.377173946265,24584.301805828716,17035.971223021585,,
Total Nonfarm per mil,492132.74701113097,508665.5112651647,523610.8213366716,529405.505107832,547038.5773698551,562162.1621621622,543721.7461709735,562752.9021558872,568888.8888888889,581344.0,575570.9041129986,574380.2915915274,588771.6788843197,581294.964028777,,
Goods Producing per mil,40641.74797306582,41317.15771230503,44926.629111899296,43735.81157775255,48114.15459630002,52540.54054054054,49490.587679643744,55820.89552238806,60196.078431372545,66400.0,57805.98593740278,55781.398049943455,55873.41319506526,62820.14388489209,,
"Mining, Logging and Construction per mil",23773.533049333517,23674.17677642981,24341.052924403644,21566.401816118047,25383.622544098667,27027.02702702703,25875.447000877135,32338.308457711442,37320.26143790849,42144.0,36307.63487026321,34905.40086193722,35252.39883187317,42446.04316546763,,
Manufacturing per mil,16902.569740277588,17608.31889081456,20585.57618749565,22169.409761634506,22694.67947798652,25513.513513513513,23615.140678766616,23482.587064676616,22875.81699346405,24256.0,21529.463007902435,20875.997188006237,20621.014363192084,20374.10071942446,,
Service Providing per mil,451490.9990380651,467348.3535528596,478718.96515752136,485669.69353007944,498960.27534777,509621.6216216216,494231.1584913299,506898.8391376451,508725.4901960784,514943.99999999994,517764.91817559575,518598.89354158385,532898.2656892545,518474.8201438849,,
"Trade, Transportation & Utilities per mil",68984.47162292154,66724.43674176777,72744.97531121774,75979.00113507378,80381.47138964577,81081.08108108108,75635.92200256392,80696.51741293533,75163.39869281046,70944.0,72335.26227366063,76657.39523794969,73246.31980451755,66187.05035971223,,
Wholesale Trade per mil,6870.96330905593,6065.857885615252,6085.263231100911,7094.211123723042,8353.64979205507,7207.207207207207,6747.183051076176,9386.401326699835,6535.9477124183,9344.0,9333.582228859437,10453.281168811322,6466.416353775553,4086.3309352517986,,
Retail Trade per mil,42668.68214923732,41594.4540727903,44335.489255163775,44338.81952326901,47791.481428366555,51963.963963963964,48917.077120302274,51144.27860696518,49836.60130718954,42944.0,44334.51558708232,45847.724424611064,44937.12378568448,43654.676258992804,,
"Transportation, Warehousing, and Utilities per mil",19479.180981173562,19064.12478336222,22324.222824953056,24545.970488081726,24200.487595009323,21909.90990990991,19971.66183118548,20165.837479270314,18790.849673202614,18656.0,18667.164457718874,20386.95479414372,21842.77966505751,18474.820143884892,,
Information per mil,6870.96330905593,6932.409012131716,6954.5865498296125,7094.211123723042,7170.514842965726,3603.6036036036035,3373.591525538088,3316.749585406302,3267.97385620915,3200.0,3111.194076286479,3056.5149616407375,2741.522140771202,2877.6978417266187,,
Financial Activities per mil,10031.606431221657,10398.613518197575,10153.696362751234,10925.085130533484,10146.2785027965,8396.396396396398,7860.468254503745,9121.06135986733,8986.928104575163,9344.0,9084.686702756519,8649.937341443287,5959.830740806961,5985.6115107913665,,
Professional and Business Services per mil,27209.01470386148,30606.585788561522,31017.456012240073,32207.718501702613,31980.49619962713,33333.333333333336,34579.3131367654,30945.2736318408,34575.163398692814,31744.0,33196.440793976726,32857.53583763792,38977.29304487753,37899.28057553957,,
Private Education and Health Services per mil,91040.26384499107,92443.67417677643,95903.74852215036,98432.17934165722,100674.02839523878,108720.72072072072,105694.62249510828,116086.23548922056,114934.64052287582,119200.0,114336.3823035281,111043.18855640799,111508.43316049824,116546.76258992807,,
Leisure and Hospitality per mil,39233.20049470936,42183.70883882149,43744.34939842826,49659.477866061294,49010.46895167073,49261.261261261265,52020.78132379732,50315.091210613595,50098.03921568627,46656.0,40974.42598469293,47131.46070850017,56379.99880803385,52287.76978417266,,
Other Services per mil,10890.476844853649,11265.16464471404,12448.709924195005,10641.316685584563,12548.40097519002,13801.801801801801,13494.366102152351,14096.185737976783,12254.901960784313,13056.0,11915.873312177213,11706.452303084025,9684.724953811312,5755.395683453237,,
Government per mil,197265.35660299574,206828.42287694974,205751.44307670908,200695.23269012486,207048.6160906353,211423.42342342343,201572.09365090076,202321.7247097844,209411.76470588235,220800.0,232810.6527285172,227465.84344530365,234429.9421896418,230935.25179856113,,
