id,Year,HousingCost
C01,2000,229566.0
C02,2000,242096.0
C03,2000,295467.0
C04,2000,163258.0
C05,2000,132716.0
C06,2000,449501.0
C07,2000,314771.0
C08,2000,158328.0
C09,2000,295641.0
C10,2000,115916.0
C11,2000,99182.0
C12,2000,457833.0
C13,2000,291382.0
C14,2000,172413.0
C15,2000,480542.0
C16,2000,150239.0
C17,2000,299462.0
C18,2000,108589.0
C19,2000,203740.0
C20,2000,295783.0
C21,2000,287463.0
C22,2000,252479.0
C23,2000,226685.0
C24,2000,
C25,2000,343862.0
C26,2000,536014.0
C27,2000,
C28,2000,195201.0
C29,2000,219148.0
C30,2000,114543.0
C31,2000,
C32,2000,
C33,2000,
C34,2000,276175.0
C35,2000,
C36,2000,
C37,2000,
C38,2000,
C39,2000,
C40,2000,
C41,2000,
C42,2000,
C43,2000,
C44,2000,
C45,2000,
C46,2000,
C47,2000,
C48,2000,
C49,2000,
C50,2000,
C51,2000,
C52,2000,
C53,2000,
C54,2000,
C55,2000,
C56,2000,
C57,2000,
C58,2000,
C01,2001,251079.0
C02,2001,280748.0
C03,2001,333243.0
C04,2001,182534.0
C05,2001,145314.0
C06,2001,543178.0
C07,2001,382969.0
C08,2001,186497.0
C09,2001,342128.0
C10,2001,122729.0
C11,2001,103356.0
C12,2001,546297.0
C13,2001,325188.0
C14,2001,206754.0
C15,2001,566007.0
C16,2001,179086.0
C17,2001,366048.0
C18,2001,107947.0
C19,2001,246129.0
C20,2001,342782.0
C21,2001,353040.0
C22,2001,295433.0
C23,2001,272863.0
C24,2001,154069.0
C25,2001,427738.0
C26,2001,629599.0
C27,2001,147812.0
C28,2001,227243.0
C29,2001,258979.0
C30,2001,120808.0
C31,2001,100638.0
C32,2001,
C33,2001,111181.0
C34,2001,332516.0
C35,2001,179889.0
C36,2001,229664.0
C37,2001,
C38,2001,
C39,2001,
C40,2001,
C41,2001,
C42,2001,
C43,2001,
C44,2001,
C45,2001,
C46,2001,
C47,2001,
C48,2001,
C49,2001,
C50,2001,
C51,2001,
C52,2001,
C53,2001,
C54,2001,
C55,2001,
C56,2001,
C57,2001,
C58,2001,
C01,2002,283949.0
C02,2002,319840.0
C03,2002,376859.0
C04,2002,205146.0
C05,2002,162844.0
C06,2002,537163.0
C07,2002,409114.0
C08,2002,215727.0
C09,2002,384935.0
C10,2002,138636.0
C11,2002,112088.0
C12,2002,565445.0
C13,2002,364038.0
C14,2002,237612.0
C15,2002,579532.0
C16,2002,207944.0
C17,2002,401060.0
C18,2002,113826.0
C19,2002,281620.0
C20,2002,400970.0
C21,2002,394909.0
C22,2002,328238.0
C23,2002,317213.0
C24,2002,178367.0
C25,2002,457548.0
C26,2002,665819.0
C27,2002,167621.0
C28,2002,270670.0
C29,2002,294746.0
C30,2002,139258.0
C31,2002,108090.0
C32,2002,
C33,2002,114929.0
C34,2002,375359.0
C35,2002,197685.0
C36,2002,258343.0
C37,2002,
C38,2002,
C39,2002,
C40,2002,
C41,2002,
C42,2002,
C43,2002,
C44,2002,
C45,2002,
C46,2002,
C47,2002,
C48,2002,
C49,2002,
C50,2002,
C51,2002,
C52,2002,
C53,2002,
C54,2002,
C55,2002,
C56,2002,
C57,2002,
C58,2002,
C01,2003,336898.0
C02,2003,382304.0
C03,2003,446047.0
C04,2003,241515.0
C05,2003,192070.0
C06,2003,550536.0
C07,2003,444049.0
C08,2003,256048.0
C09,2003,436481.0
C10,2003,168068.0
C11,2003,129321.0
C12,2003,610648.0
C13,2003,434912.0
C14,2003,265883.0
C15,2003,615941.0
C16,2003,240233.0
C17,2003,443392.0
C18,2003,125317.0
C19,2003,324700.0
C20,2003,477802.0
C21,2003,437948.0
C22,2003,371884.0
C23,2003,371803.0
C24,2003,206264.0
C25,2003,495219.0
C26,2003,713102.0
C27,2003,198976.0
C28,2003,323224.0
C29,2003,340310.0
C30,2003,170114.0
C31,2003,115140.0
C32,2003,120728.0
C33,2003,125572.0
C34,2003,435614.0
C35,2003,238743.0
C36,2003,289852.0
C37,2003,
C38,2003,272294.0
C39,2003,
C40,2003,
C41,2003,
C42,2003,364050.0
C43,2003,
C44,2003,
C45,2003,
C46,2003,
C47,2003,
C48,2003,
C49,2003,
C50,2003,
C51,2003,
C52,2003,
C53,2003,
C54,2003,
C55,2003,
C56,2003,
C57,2003,
C58,2003,
C01,2004,417666.0
C02,2004,468736.0
C03,2004,561747.0
