TITLE,Year,Value,County
Civilian Employment per mil,2010,820805.2768998214,Yuba_County_per_mil
Civilian Unemployment per mil,2010,179229.07791672394,Yuba_County_per_mil
"Total, All Industries per mil",2010,523326.9204342449,Yuba_County_per_mil
Total Farm per mil,2010,31194.17342311392,Yuba_County_per_mil
Total Nonfarm per mil,2010,492132.74701113097,Yuba_County_per_mil
Goods Producing per mil,2010,40641.74797306582,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2010,23773.53304933352,Yuba_County_per_mil
Manufacturing per mil,2010,16902.569740277588,Yuba_County_per_mil
Service Providing per mil,2010,451490.9990380651,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2010,68984.47162292154,Yuba_County_per_mil
Wholesale Trade per mil,2010,6870.96330905593,Yuba_County_per_mil
Retail Trade per mil,2010,42668.68214923732,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2010,19479.18098117356,Yuba_County_per_mil
Information per mil,2010,6870.96330905593,Yuba_County_per_mil
Financial Activities per mil,2010,10031.606431221657,Yuba_County_per_mil
Professional and Business Services per mil,2010,27209.01470386148,Yuba_County_per_mil
Private Education and Health Services per mil,2010,91040.26384499107,Yuba_County_per_mil
Leisure and Hospitality per mil,2010,39233.20049470936,Yuba_County_per_mil
Other Services per mil,2010,10890.476844853649,Yuba_County_per_mil
Government per mil,2010,197265.35660299571,Yuba_County_per_mil
Federal Government per mil,2010,47512.71128212175,Yuba_County_per_mil
State Government per mil,2010,26624.982822591726,Yuba_County_per_mil
Local Government per mil,2010,123093.307681737,Yuba_County_per_mil
Civilian Employment per mil,2011,829878.6828422877,Yuba_County_per_mil
Civilian Unemployment per mil,2011,169844.02079722704,Yuba_County_per_mil
"Total, All Industries per mil",2011,541871.7504332755,Yuba_County_per_mil
Total Farm per mil,2011,33206.23916811092,Yuba_County_per_mil
Total Nonfarm per mil,2011,508665.5112651647,Yuba_County_per_mil
Goods Producing per mil,2011,41317.15771230503,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2011,23674.17677642981,Yuba_County_per_mil
Manufacturing per mil,2011,17608.31889081456,Yuba_County_per_mil
Service Providing per mil,2011,467348.3535528596,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2011,66724.43674176777,Yuba_County_per_mil
Wholesale Trade per mil,2011,6065.857885615252,Yuba_County_per_mil
Retail Trade per mil,2011,41594.4540727903,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2011,19064.12478336222,Yuba_County_per_mil
Information per mil,2011,6932.409012131716,Yuba_County_per_mil
