id,county_id,Year,HousingCost
H0001,C01,2000,229566.0
H0002,C02,2000,242096.0
H0003,C03,2000,295467.0
H0004,C04,2000,163258.0
H0005,C05,2000,132716.0
H0006,C06,2000,449501.0
H0007,C07,2000,314771.0
H0008,C08,2000,158328.0
H0009,C09,2000,295641.0
H0010,C10,2000,115916.0
H0011,C11,2000,99182.0
H0012,C12,2000,457833.0
H0013,C13,2000,291382.0
H0014,C14,2000,172413.0
H0015,C15,2000,480542.0
H0016,C16,2000,150239.0
H0017,C17,2000,299462.0
H0018,C18,2000,108589.0
H0019,C19,2000,203740.0
H0020,C20,2000,295783.0
H0021,C21,2000,287463.0
H0022,C22,2000,252479.0
H0023,C23,2000,226685.0
H0024,C24,2000,
H0025,C25,2000,343862.0
H0026,C26,2000,536014.0
H0027,C27,2000,
H0028,C28,2000,195201.0
H0029,C29,2000,219148.0
H0030,C30,2000,114543.0
H0031,C31,2000,
H0032,C32,2000,
H0033,C33,2000,
H0034,C34,2000,276175.0
H0035,C35,2000,
H0036,C36,2000,
H0037,C37,2000,
H0038,C38,2000,
H0039,C39,2000,
H0040,C40,2000,
H0041,C41,2000,
H0042,C42,2000,
H0043,C43,2000,
H0044,C44,2000,
H0045,C45,2000,
H0046,C46,2000,
H0047,C47,2000,
H0048,C48,2000,
H0049,C49,2000,
H0050,C50,2000,
H0051,C51,2000,
H0052,C52,2000,
H0053,C53,2000,
H0054,C54,2000,
H0055,C55,2000,
H0056,C56,2000,
H0057,C57,2000,
H0058,C58,2000,
H0059,C01,2001,251079.0
H0060,C02,2001,280748.0
H0061,C03,2001,333243.0
H0062,C04,2001,182534.0
H0063,C05,2001,145314.0
H0064,C06,2001,543178.0
H0065,C07,2001,382969.0
H0066,C08,2001,186497.0
H0067,C09,2001,342128.0
H0068,C10,2001,122729.0
H0069,C11,2001,103356.0
H0070,C12,2001,546297.0
H0071,C13,2001,325188.0
H0072,C14,2001,206754.0
H0073,C15,2001,566007.0
H0074,C16,2001,179086.0
H0075,C17,2001,366048.0
H0076,C18,2001,107947.0
H0077,C19,2001,246129.0
H0078,C20,2001,342782.0
H0079,C21,2001,353040.0
H0080,C22,2001,295433.0
H0081,C23,2001,272863.0
H0082,C24,2001,154069.0
H0083,C25,2001,427738.0
