industry_worker_id,county_id,industry_id,Year,PerMilValue
IW00001,C07,IN02,2010,890080.7713182007
IW00002,C07,IN03,2010,109909.01254669092
IW00003,C07,IN21,2010,834648.0222200939
IW00004,C07,IN04,2010,936.0533793059412
IW00005,C07,IN05,2010,833710.6918238994
IW00006,C07,IN06,2010,115516.39370430673
IW00007,C07,IN25,2010,38703.82785812343
IW00008,C07,IN13,2010,76812.56584618332
IW00009,C07,IN26,2010,53688.34402834977
IW00010,C07,IN47,2010,23124.221817833542
IW00011,C07,IN36,2010,718194.2981195927
IW00012,C07,IN34,2010,150432.58947099574
IW00013,C07,IN18,2010,43791.46314210006
IW00014,C07,IN15,2010,77536.63442199022
IW00015,C07,IN16,2010,29115.985058902403
IW00016,C07,IN19,2010,18303.483063563515
IW00017,C07,IN14,2010,29796.635060498676
IW00018,C07,IN48,2010,18261.34150624142
IW00019,C07,IN49,2010,11535.293554257254
IW00020,C07,IN17,2010,138087.66720939885
IW00021,C07,IN50,2010,73109.2168693931
IW00022,C07,IN51,2010,24774.12763783801
IW00023,C07,IN33,2010,40204.32270216774
IW00024,C07,IN11,2010,134108.4825846822
IW00025,C07,IN37,2010,17772.2440379274
IW00026,C07,IN59,2010,116336.23854675476
IW00027,C07,IN12,2010,69555.27886856304
IW00028,C07,IN35,2010,11471.442709829837
IW00029,C07,IN53,2010,58082.55914184466
IW00030,C07,IN20,2010,29616.57567921336
IW00031,C07,IN07,2010,148283.3700475689
IW00032,C07,IN08,2010,13386.968042652365
IW00033,C07,IN09,2010,47111.70705232576
IW00034,C07,IN10,2010,87784.69495259075
IW00035,C07,IN02,2011,899177.8528200848
IW00036,C07,IN03,2011,100832.35701760431
IW00037,C07,IN21,2011,845428.1623057898
IW00038,C07,IN04,2011,893.360797796717
IW00039,C07,IN05,2011,844534.801507993
IW00040,C07,IN06,2011,118657.45739307108
IW00041,C07,IN25,2011,39349.99068352311
IW00042,C07,IN13,2011,79307.46670954798
IW00043,C07,IN26,2011,55059.10219792281
IW00044,C07,IN47,2011,24248.36451162518
IW00045,C07,IN36,2011,725877.3441149219
IW00046,C07,IN34,2011,152062.7700821126
IW00047,C07,IN18,2011,43806.58483481759
IW00048,C07,IN15,2011,78338.80835879412
IW00049,C07,IN16,2011,29927.58672619002
IW00050,C07,IN19,2011,18080.346317694413
IW00051,C07,IN14,2011,31257.41808519599
IW00052,C07,IN48,2011,19983.204817001424
IW00053,C07,IN49,2011,11272.937038483433
IW00054,C07,IN17,2011,141693.403679115
IW00055,C07,IN50,2011,74595.62661602587
IW00056,C07,IN51,2011,25961.0647839726
IW00057,C07,IN33,2011,41136.71227911654
IW00058,C07,IN11,2011,133461.72204227382
IW00059,C07,IN37,2011,17952.7233465806
IW00060,C07,IN59,2011,115508.99869569324
IW00061,C07,IN12,2011,71426.7482432698
IW00062,C07,IN35,2011,11623.900209046427
IW00063,C07,IN53,2011,59801.57180451224
